ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S1BE,BE,Drogenbos,5.623907572,16.06830735,BE,72.66185866,107.0209201
S2BE,BE,MiRIS,0.401707684,1.365806125,BE,63.81343763,98.17249907
S3BE,BE,MiRIS,0.964098441,1.044439978,BE,69.43777219,103.7968336
S4BE,BE,MiRIS,0.964098441,1.044439978,BE,61.52013845,95.87919989
S5BE,BE,MiRIS,0.160683073,0.883756904,BE,86.77835381,121.1374152
S6BE,BE,Olen Umicore BAT,0.964098441,0.602561526,BE,60.08746856,94.44653
S7BE,BE,Ruien Energy Storage,20.08538419,25.70929176,BE,74.77160234,109.1306638
S8BE,BE,Terhills,14.62215969,17.43411347,BE,82.42155128,116.7806127
S9BE,BE,Peleman Industries,1.606830735,1.606830735,BE,60.44836087,94.80742231
S10BE,BE,Ostend BESS,19.28196882,43.38442984,BE,84.44640324,118.8054647
S11BE,BE,Ruien Energy Storage,20.08538419,80.34153674,BE,73.76129984,108.1203613
S12BE,BE,Strom BESS CM 2627,96.40984409,385.6393764,BE,79.24361073,113.6026722
S13BE,BE,Gent Ringvaart,80.34153674,321.366147,BE,85.03378116,119.3928426
S14BE,BE,Lessines BESS,40.17076837,80.34153674,BE,78.08808077,112.4471422
S15BE,BE,Antwerp refinery BESS,20.08538419,60.25615256,BE,68.97790856,103.33697
S16BE,BE,Kallo EES,80.34153674,321.366147,BE,74.20538987,108.5644513
S17BE,BE,BASF Verbund,0.723073831,4.659809131,BE,88.12555323,122.4846147
S18BE,BE,Drogenbos BESS,64.27322939,257.0929176,BE,80.43645034,114.7955118
S19BE,BE,Drogenbos,5.623907572,16.06830735,BE,81.90805913,116.2671206
S20BE,BE,VillesurHaine BESS,40.17076837,160.6830735,BE,60.45293799,94.81199942
S21BE,BE,Innotech CM 2627,32.1366147,257.0929176,BE,76.29949188,110.6585533
S22BE,BE,Fuloy project,20.08538419,60.25615256,BE,60.84010315,95.19916458
S23BE,BE,Electrabel BESS CM 2627,144.6147661,578.4590645,BE,60.43409577,94.79315721
S24BE,BE,TheBattery,1.606830735,1.606830735,BE,86.32240379,120.6814652
S25BE,BE,Vilvoorde BESS,160.6830735,642.7322939,BE,88.02640774,122.3854692
S26BE,BE,First FCR belgium,0.803415367,4.820492204,BE,71.08182391,105.4408854
S27BE,BE,Centrica BESS Y4 auction,2.12101657,2.12101657,BE,60.94229629,95.30135773
S28BE,BE,Aspiravi Belgium BESS,10.91038069,44.18784521,BE,75.47646392,109.8355254
S29BE,BE,Storm belgium BESS,20.24606726,80.34153674,BE,76.26841242,110.6274739
S30BE,BE,Nala Renewables Belgium BESS,6.427322939,25.70929176,BE,63.04373336,97.40279479
S31BE,BE,Innovative Energy Transition Hub  battery storage,160.6830735,642.7322939,BE,68.3305856,102.689647
S32BE,BE,GIGA BLUE MARLIN,241.0246102,964.0984409,BE,62.14163376,96.5006952
S33BE,BE,Balen Project,20.08538419,80.34153674,BE,67.61461098,101.9736724
S34BE,BE,Storm BE CM,48.20492204,192.8196882,BE,78.33880913,112.6978706
S35BE,BE,Green Turtle project,562.3907572,2249.563029,BE,87.37482202,121.7338835
S36BE,BE,MiRIS,1.526489198,3.294003006,BE,75.33300079,109.6920622
S37BE,BE,Bastogne BESS,8.034153674,16.06830735,BE,67.9524256,102.311487
S38BE,BE,New BESSBE38,803.4153674,1301.532895,BE,85.24968335,119.6087448
S1BG,BG,South Bulgaria,18.62732919,40.98012422,BG,78.92401357,113.283075
S2BG,BG,New BESSBG2,745.0931677,1207.050932,BG,67.48005262,101.8391141
S3BG,BG,New BESSBG3,745.0931677,1207.050932,BG,66.81809051,101.1771519
S4BG,BG,New BESSBG4,745.0931677,1207.050932,BG,85.09372856,119.45279
S5BG,BG,New BESSBG5,745.0931677,1207.050932,BG,72.84300442,107.2020659
S1CZ,CZ,Mydlovary ,0.666586874,1.16652703,CZ,78.18123685,112.5402983
S2CZ,CZ,Oboriste ,0.666586874,0.866562936,CZ,59.82082847,94.17988991
S3CZ,CZ,Ochoz,6.665868741,6.665868741,CZ,66.21773432,100.5767958
S4CZ,CZ,Praksice,0.666586874,0.799904249,CZ,77.60603919,111.9651006
S5CZ,CZ,New BESSCZ5,666.5868741,1079.870736,CZ,89.0968275,123.4558889
S6CZ,CZ,New BESSCZ6,666.5868741,1079.870736,CZ,82.03534398,116.3944054
S7CZ,CZ,New BESSCZ7,666.5868741,1079.870736,CZ,69.35414478,103.7132062
S8CZ,CZ,New BESSCZ8,666.5868741,1079.870736,CZ,69.89191529,104.2509767
S9CZ,CZ,New BESSCZ9,666.5868741,1079.870736,CZ,70.48114278,104.8402042
S1DK,DK,BOSS,5.196078431,5.196078431,DK2,73.34328253,107.702344
S2DK,DK,Vestas Lem Kaer ESS Demo 400 kW ,2.078431373,0.519607843,DK1,74.92846896,109.2875304
S3DK,DK,Lem Kaer 12 MW ESS Demo  Vestas Wind Systems,6.235294118,1.558823529,DK1,86.19054946,120.5496109
S4DK,DK,Lem Kaer windplusstorage,10.39215686,2.598039216,DK1,76.11570908,110.4747705
S5DK,DK,Suduroy BESS,31.17647059,38.97058824,DK1,73.52820357,107.887265
S6DK,DK,Hoby solar plus Storage,51.96078431,62.35294118,DK2,85.01814281,119.3772043
S7DK,DK,Borup BESS,51.96078431,51.96078431,DK2,67.3645386,101.7236
S1DE,DE,Bocholt,0.966689744,1.20836218,DELU,75.16703179,109.5260932
S2DE,DE,Emden,0.483344872,2.900069232,DELU,86.26763231,120.6266938
S3DE,DE,BerlinAdlershof,0.725017308,3.745922758,DELU,61.7977186,96.15678004
S4DE,DE,Vlklingen,0.60418109,0.410843141,DELU,73.18112752,107.540189
S5DE,DE,BerlinTreptow,1.20836218,1.54670359,DELU,62.2016876,96.56074904
S6DE,DE,Eisenhuttenstadt,1.691707052,0.435010385,DELU,66.54716789,100.9062293
S7DE,DE,Pellworm,0.773049705,1.305031154,DELU,60.52177694,94.88083838
S8DE,DE,Magdeburg,0.60418109,0.302090545,DELU,77.69721005,112.0562715
S9DE,DE,Wittstock  Dosse,0.785435417,1.20836218,DELU,71.07554676,105.4346082
S10DE,DE,Braderup,1.404721034,2.175051924,DELU,79.04717327,113.4062347
S11DE,DE,SchwerinLankow,3.02090545,3.650220473,DELU,84.66824848,119.0273099
S12DE,DE,Wettringen,0.151045272,0.60418109,DELU,66.1198615,100.4789229
S13DE,DE,Nurnberg,0.785435417,0.824707188,DELU,63.13705674,97.49611818
S14DE,DE,DresdenReick,1.20836218,1.631288943,DELU,69.26666789,103.6257293
S15DE,DE,Neuhardenberg,3.02090545,3.866758975,DELU,67.14540202,101.5044635
S16DE,DE,Feldheim Brandenburg,6.041810899,6.343901444,DELU,74.31853171,108.6775931
S17DE,DE,Hamburg,1.20836218,1.691707052,DELU,79.16528092,113.5243424
S18DE,DE,Drverden,1.81254327,2.41672436,DELU,82.74777369,117.1068351
S19DE,DE,Aachen,3.395497725,3.341121427,DELU,84.70275982,119.0618213
S20DE,DE,Lunen,7.250173079,7.854354169,DELU,87.73025635,122.0893178
S21DE,DE,Herne,9.062716349,13.89616507,DELU,60.16461785,94.52367929
S22DE,DE,Lunen,9.062716349,13.89616507,DELU,80.96842671,115.3274882
S23DE,DE,Duisburg,9.062716349,13.89616507,DELU,61.25875098,95.61781242
S24DE,DE,Bexbach,9.062716349,13.89616507,DELU,60.80625889,95.16532032
S25DE,DE,Vlklingen,9.062716349,13.89616507,DELU,66.94568384,101.3047453
S26DE,DE,Quierscheid,9.062716349,13.89616507,DELU,72.08392962,106.4429911
S27DE,DE,Garching,0.845853526,0.734684205,DELU,71.13574395,105.4948054
S28DE,DE,Schwabisch Hall,0.60418109,0.845853526,DELU,89.21584929,123.5749107
S29DE,DE,Brunsbuttel,1.510452725,1.510452725,DELU,87.38933198,121.7483934
S30DE,DE,BrilonHoppecke,0.906271635,1.592017172,DELU,73.6841206,108.043182
S31DE,DE,Heilbronn,3.262577886,3.383414104,DELU,68.11074656,102.469808
S32DE,DE,SchwerinLankow,3.02090545,5.739720354,DELU,85.74340902,120.1024705
S33DE,DE,Leipzig,6.041810899,9.062716349,DELU,79.10425838,113.4633198
S34DE,DE,Chemnitz,6.041810899,9.60647933,DELU,80.79648005,115.1555415
S35DE,DE,Hannover Herrenhausen,9.062716349,10.51275096,DELU,70.18405105,104.5431125
S36DE,DE,Borkum,0.60418109,0.302090545,DELU,66.79792117,101.1569826
S37DE,DE,Wendelstein,0.302090545,0.60418109,DELU,88.81212587,123.1711873
S38DE,DE,Aschheim b Munchen,0.664599199,0.682120451,DELU,60.70767982,95.06674126
S39DE,DE,Bruck  Bad Hindelang,0.60418109,0.755226362,DELU,78.26661602,112.6256775
S40DE,DE,Trostberg,0.725017308,0.906271635,DELU,67.86402967,102.2230911
S41DE,DE,EggensteinLeopoldshafen,1.087525962,0.906271635,DELU,82.58133279,116.9403942
S42DE,DE,Groenhain,0.60418109,0.60418109,DELU,60.50949535,94.86855679
S43DE,DE,Bautzen,1.510452725,1.510452725,DELU,85.24777612,119.6068376
S44DE,DE,Gdenroth,1.510452725,2.41672436,DELU,76.06153038,110.4205918
S45DE,DE,Ludwigshafen,5.437629809,3.927177084,DELU,83.18201435,117.5410758
S46DE,DE,Herdecke,3.62508654,4.229267629,DELU,78.02662778,112.3856892
S47DE,DE,Elverlingsen,4.893866828,5.075121155,DELU,84.54272051,118.901782
