Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
2,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
3,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
4,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
5,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
6,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
7,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
8,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
9,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
10,3618.00,1651.00,2328.00,1884.00,1464.00,27617.00,402.00,1955.00,2511.00,22620.00,21990.00,48.00,11425.00,463.00,810.00,2125.00,7853.00,2301.00,7188.00,2438.00,3980.00,691.00,1058.00,4472.00,1393.00,2044.00,11401.00,3088.00,26970.00,18096.00,7684.00,9975.00,6691.00,7003.00,1985.00,74.00,145.00,201.00,828.00,275.00,108.00
