Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
2,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
3,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
4,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
5,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
6,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
7,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
8,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
9,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
10,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
11,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
12,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
13,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
14,161987.8662,34116.06479,63537.30141,43956.11456,26755.89582,1065562.948,7286.284544,64423.07692,66126.32016,432887.701,597743.2138,9628.195928,402317.7463,10895.62207,23376.27917,48429.8968,168005.7726,148069.351,209984.0333,78992.18271,68907.34038,68907.34038,24248.76699,73188.60204,9287.852218,12770.7968,74302.81774,19736.68596,506240.7685,131971.3749,24798.07692,29230.76923,11586.53846,11942.30769,56500,2403.846154,4798.076923,6000,27201.92308,9000,3596.153846
