Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
2,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
3,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
4,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
5,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
6,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
7,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
8,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
9,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
10,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
11,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
12,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
13,3205.239362,675.0515103,1257.206877,869.7556914,529.4165078,21084.19837,144.173058,1274.733638,1308.435559,8565.510065,11827.49129,190.5122482,7960.625116,215.5906955,462.5443368,958.2780188,3324.315135,2929.834951,4154.93521,1563.011226,1363.463356,1363.463356,479.8081748,1448.176296,183.7778978,252.6946094,1470.223182,390.5280328,10016.94062,2611.305744,490.6773212,578.3866058,229.261796,236.3013699,1117.960426,47.56468798,94.9391172,118.7214612,538.2420091,178.0821918,71.15677321
