Year,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
2015,710,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2016,880,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2017,1180,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2018,1550,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2019,2250,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2020,2250,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2021,2250,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2022,2260,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2023,2260,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
2024,2760,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714,735.4285714
2025,3260,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429,770.8571429
2026,3760,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143,806.2857143
2027,4260,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857,841.7142857
2028,4760,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571,877.1428571
2029,5260,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286,912.5714286
2030,5760,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948
