ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric boiler1DK,DK,Name1,Electric boiler,0,160,DK2,55.686,12.627,16.38988064
Electric boiler2DK,DK,Name2,Electric boiler,0,30,DK1,55.4552,8.4544,14.22299496
Electric boiler3DK,DK,Name3,Electric boiler,0,120.42,DK1,55.4287,10.4074,19.61373335
Electric boiler4DK,DK,Name4,Electric boiler,0,50,DK1,55.51175,9.44672,15.34516265
Electric boiler5DK,DK,Name5,Electric boiler,0,185,DK1,57.0736,10.0416,16.17077583
Electric boiler6DK,DK,Name6,Electric boiler,0,280,DK1,56.22774,10.15789,19.77892541
Electric boiler7DK,DK,Name7,Electric boiler,0,16,DK1,55.2562,9.9127,18.38482881
Electric boiler8DK,DK,Name8,Electric boiler,0,8,DK1,54.9503,9.8884,14.73962163
Electric boiler9DK,DK,Name9,Electric boiler,0,10,DK1,56.2702,8.8054,16.96554157
Electric boiler10DK,DK,Name10,Electric boiler,0,15,DK1,55.72817661,9.113910993,23.58365247
Electric boiler11DK,DK,Name11,Electric boiler,0,11.5,DK1,55.56685593,10.09347833,23.98107115
Electric boiler12DK,DK,Name12,Electric boiler,0,11.2,DK1,55.46963456,8.700858786,18.65495098
Electric boiler13DK,DK,Name13,Electric boiler,0,7,DK1,55.05568528,8.82688934,18.39376387
Electric boiler14DK,DK,Name14,Electric boiler,0,3,DK1,55.7032,9.3806,24.09116204
Electric boiler15DK,DK,Name15,Electric boiler,0,10,DK1,57.1015,9.5162,21.69132003
Electric boiler16DK,DK,Name16,Electric boiler,0,10,DK1,55.9764,9.6226,18.84417091
Electric boiler17DK,DK,Name17,Electric boiler,0,19.85,DK1,57.2595,9.9521,21.97524216
Electric boiler18DK,DK,Name18,Electric boiler,0,10,DK1,55.4824,9.0169,23.72948075
Electric boiler19DK,DK,Name19,Electric boiler,0,2.95,DK1,55.3641,9.4898,23.5823713
Electric boiler20DK,DK,Name20,Electric boiler,0,4,DK1,55.6142,9.3102,14.75482923
Electric boiler21DK,DK,Name21,Electric boiler,0,7,DK1,55.98540532,9.289562509,17.97510969
Electric boiler22DK,DK,Name22,Electric boiler,0,12,DK1,57.0828,9.2597,17.26917051
Electric boiler23DK,DK,Name23,Electric boiler,0,10,DK1,55.2808,9.0469,16.43755548
Electric boiler24DK,DK,Name24,Electric boiler,0,7,DK1,55.84486879,9.236609867,21.6204555
Electric boiler25DK,DK,Name25,Electric boiler,0,12,DK1,55.7617,8.933,17.67423654
Electric boiler26DK,DK,Name26,Electric boiler,0,8,DK1,55.47239454,8.800432258,15.68890142
Electric boiler27DK,DK,Name27,Electric boiler,0,2,DK1,56.72143454,10.11260717,15.03481363
Electric boiler28DK,DK,Name28,Electric boiler,0,10,DK1,57.115,8.6352,18.39330612
Electric boiler29DK,DK,Name29,Electric boiler,0,10,DK2,55.32563637,11.95896466,16.26465087
Electric boiler30DK,DK,Name30,Electric boiler,0,2.4,DK1,55.69510972,8.99761446,15.11195223
Electric boiler31DK,DK,Name31,Electric boiler,0,2.95,DK1,55.52,10.664,23.36010658
Electric boiler32DK,DK,Name32,Electric boiler,0,6,DK1,57.1674,10.1479,17.80824321
Electric boiler33DK,DK,Name33,Electric boiler,0,6,DK1,55.50842763,8.917909696,19.09850993
