year,CO2 quota,Coal - Central,Fuel oil - Central,Gas oil - Central,Gas oil - Decentral,Natural gas - Decentral,Natural gas - Central,Straw - Central,Straw - Decentral,Wood chips - CIF,Wood chips - Central,Wood chips - Decentral,Wood pellets - Hub,Wood pellets - Central,Wood pellets - Decentral,Bio oil - Decentral,Biogas - Decentral,Waste - Decentral,District heating - Decentral,Nuclear - Central,Peat - Central,Brown coal - Central,Geothermal - Decentral,Electricity - Decentral,Solar Thermal - Central,Excess Heat - Central,Tidal - Central
2000,NA,4.199417716,49.8818,49.8818,49.8818,14.27640543,14.27640543,18.84563758,18.84563758,21.26174497,21.26174497,21.26174497,25.12751678,25.12751678,25.12751678,0,0,0,0,0.937915768,15.31481319,0,0,0,0,0,0
2001,NA,5.512216027,44.37449644,44.37449644,44.37449644,15.46201077,15.46201077,18.36241611,18.36241611,19.81208054,19.81208054,19.81208054,25.61073826,25.61073826,25.61073826,0,0,0,0,1.005034313,15.31481319,0,0,0,0,0,0
2002,NA,4.02744213,43.1356085,43.1356085,43.1356085,11.0563347,11.0563347,17.87919463,17.87919463,19.81208054,19.81208054,19.81208054,28.02684564,28.02684564,28.02684564,0,0,0,0,1.089454242,15.31481319,0,0,0,0,0,0
2003,NA,3.905997088,41.60607054,41.60607054,41.60607054,11.81527735,11.81527735,17.39597315,17.39597315,20.29530201,20.29530201,20.29530201,29.95973154,29.95973154,29.95973154,0,0,0,0,1.039732856,15.31481319,0,0,0,0,0,0
2004,NA,6.418972009,50.18601402,50.18601402,50.18601402,11.75476236,11.75476236,16.91275168,16.91275168,19.32885906,19.32885906,19.32885906,30.44295302,30.44295302,30.44295302,0,0,0,0,1.517310282,15.31481319,0,0,0,0,0,0
2005,NA,5.418417278,71.26962588,71.26962588,71.26962588,17.3722374,17.3722374,16.4295302,16.4295302,19.32885906,19.32885906,19.32885906,28.99328859,28.99328859,28.99328859,0,0,0,0,2.346597513,15.31481319,2.113874239,0,0,0,0,0
2006,NA,5.89043132,84.81713777,84.81713777,84.81713777,23.04288495,23.04288495,15.94630872,15.94630872,19.32885906,19.32885906,19.32885906,29.47651007,29.47651007,29.47651007,0,0,0,0,3.968855106,15.31481319,2.186612576,0,0,0,0,0
2007,NA,7,86,86,86,21,21,16,16,20,20,20,36,36,36,0,0,0,0,8,15,2,0,0,0,0,0
2008,23.82264526,12,109,109,109,31,31,15,15,22,22,22,40,40,40,0,0,0,0,5,15,2,0,0,0,0,0
2009,13.79976119,7,72,72,72,21,21,17,17,23,23,23,38,38,38,0,0,0,0,4,15,2,0,0,0,0,0
