Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,0,20770.73345,9661.55083,0,0,0,0,0,56006.95948,855982.9816,357319.1245,122310.4134,97563.00127,0,0,0,0,37764.11279,0,135218.7805,87726.21951,0,0,0,193880.9086,532373.3181,285315.1162,48333.12739,0,197564.8902,726064.5345,292737.9127,465860.078,526750.6159,280571.3211,38290.40392,0,72982.50626,314.0476936,136153.9114,0
2,0,17533.63243,9505.185861,0,0,0,0,0,50159.34187,737532.6381,411852.0464,101322.0692,125147.2236,0,0,0,0,70667.99615,0,125027.7458,125892.1967,0,0,0,256613.8406,716247.2605,285669.1712,48663.09085,0,211952.6449,870036.1941,331415.6523,492653.5706,562679.5141,461214.2194,45768.04873,0,65362.49273,21806.31167,132058.2483,0
3,0,14905.98069,8910.798514,0,0,0,0,0,50829.21451,569342.0063,515938.6842,85608.73583,108795.5243,0,0,0,0,82693.96129,0,113880.8001,119488.4352,0,0,0,247301.7956,797761.9244,299682.9261,51099.20403,0,205347.394,888729.0986,377970.2787,471435.6604,505840.2218,541450.2634,43534.70137,0,66235.40181,25976.94505,115501.7188,0
4,0,7445.810969,10507.5254,0,0,0,0,0,38207.77273,653537.7286,591181.5783,70381.44409,118021.667,0,0,0,0,100002.7736,0,118559.0468,110227.0867,0,0,0,315456.0549,886693.6659,296469.3511,51383.03277,0,237106.1463,932020.3574,421953.7401,454319.6856,582970.237,635420.2662,37928.72824,0,49788.43769,21608.28159,104307.2415,0
5,0,8292.977376,10436.35929,0,0,0,0,0,34526.97781,425969.8095,387835.2885,60806.52465,80018.69824,0,0,0,0,61458.2317,0,118825.8593,87041.64148,0,0,0,357432.4748,851186.3374,299382.0296,51528.4574,0,240691.0518,1013434.353,389066.8856,437488.6093,618374.7208,334746.1105,28986.29691,0,44992.00452,11473.74249,99683.91628,0
6,0,58818.23719,8724.363359,0,0,0,0,0,22580.41519,587006.4908,437295.8696,65867.1941,92214.32395,0,0,0,0,52507.1924,0,117269.1185,67179.85767,0,0,0,316855.2689,834072.3184,295575.6883,51478.31098,0,255040.7012,947374.5271,356917.8001,365214.6953,594387.0274,347530.4141,27018.17838,0,29424.47346,4310.654648,95088.73308,0
7,0,13162.18995,14760.45207,0,0,0,0,0,21783.3769,570602.1057,427168.2125,59161.22845,81336.57545,0,0,0,0,43384.75394,0,120711.6019,69454.10007,0,0,0,421094.204,849568.1754,280683.3155,49154.52578,0,215502.4533,1054412.561,372097.1965,374621.359,550317.1735,341765.8095,33299.27946,0,28385.85518,3480.528579,86950.67569,0
8,0,14101.89054,14268.30336,0,0,0,0,0,26238.18011,571074.0154,426436.153,62836.22644,76237.44294,0,0,0,0,46914.0752,0,107979.83,95073.15508,0,0,0,377940.2377,859451.5965,304250.5356,45731.53101,0,222920.9513,1064277.369,380147.4991,366999.3231,531075.2793,286482.6887,29245.49781,0,34190.8963,9310.413948,77651.76165,0
9,0,9810.218909,11277.32217,0,0,0,0,0,27516.84581,437692.2477,526713.2775,85614.77362,87530.09726,0,0,0,0,77147.63481,0,94829.78425,98618.32713,0,0,0,451016.32,947185.2564,307604.5291,46013.35391,0,282344.1431,1234504.719,459692.2276,477597.0903,588896.219,375170.623,37820.22553,0,35857.12187,3052.463569,93540.92421,0
10,0,40919.25428,12949.22452,0,0,0,0,0,39830.88714,540541.4566,588883.2521,92554.20025,92079.02857,0,0,0,0,80108.46136,0,85910.62281,78483.91488,0,0,0,451902.9904,922047.5998,301809.2617,48508.63987,0,289865.9265,1122112.678,372742.7444,406453.7416,699605.7963,366769.4892,64473.71427,0,51903.51336,10556.6032,161859.5994,0
