ID,country,name,Technology,capacity_el,Pumping capacity,zone_el,Latitude,Longitude,Volume,Storage Capacity,Dam Height,Commission,prodcost
HY2BG,BG,Sestrimo,Large Hydro - Dammed,240,291,BG,42.1913161,24.3321331,0.42,0,539,1974,97
HY7BG,BG,Gorna Arda,Large Hydro - Dammed,174.2,0,BG,41.61503,26.32921,0,0,0,2010,101
HY9BG,BG,Studen Kladenets,Large Hydro - Dammed,160,0,BG,41.6195,25.6415,388,0,2.71389,1958,110
HY10BG,BG,Peshtera,Large Hydro - Dammed,135,0,BG,42.0135,24.2579,302.3,0,586,1959,98
HY11BG,BG,Momina Klisura,Large Hydro - Dammed,120,0,BG,42.2319,23.9494,0.2,0,254,---,109
HY12BG,BG,Ivailovgrad,Large Hydro - Dammed,114,0,BG,41.5837,26.1074,156.7,0,43,1964,100
HY13BG,BG,Kardzhali,Large Hydro - Dammed,110,0,BG,41.6334,25.34,540,0,93,1963,98
HY14BG,BG,Devin,Medium Hydro - Dammed,80,0,BG,41.7201,24.425,1.37,0,156,---,93
HY15BG,BG,Krichim,Medium Hydro - Dammed,80,0,BG,41.99178,24.468033,20.26,0,172,---,105
HY16BG,BG,Tsankov Kamak,Medium Hydro - Dammed,80,0,BG,41.8221821,24.4420481,111,0,5.6278,---,110
HY17BG,BG,Aleko,Medium Hydro - Dammed,66,0,BG,42.1194,24.289,0.17,0,272,---,107
HY18BG,BG,Teshel,Medium Hydro - Dammed,60,0,BG,41.6428,24.153,447.13,0,341,---,107
HY19BG,BG,Batak,Small Hydro - Dammed,48,0,BG,41.922589,24.1694,87.7,0,421,---,94
HY20BG,BG,Pasarel,Small Hydro - Dammed,33,0,BG,42.5441,23.4861,655.3,0,116,---,93
HY21BG,BG,Beli Iskar + Mala Tsarkva + Simeonovo,Small Hydro - Dammed,31.3,0,BG,42.1373,23.5691,15.1,0,1160,---,107
HY22BG,BG,Spanchevo,Small Hydro - Dammed,28,0,BG,41.56265,23.56559,0.04,0,438,---,110
HY23BG,BG,Kalin + Kamenitsa + Pastra + Rila,Small Hydro - Dammed,24.2,0,BG,42.07,23.13,2.2,0,1800,---,104
HY24BG,BG,Kokalyane,Small Hydro - Dammed,22.4,0,BG,42.58398,23.42819,2.7,0,98.5,---,112
HY26BG,BG,Popina Laka,Small Hydro - Dammed,21.5,0,BG,41.65627,23.3754,0.046,0,532,---,104
HY27BG,BG,Pirin,Small Hydro - Dammed,21.2,0,BG,41.5745,23.5626,0.06,0,456,---,102
HY28BG,BG,Lilyanovo,Small Hydro - Dammed,20,0,BG,41.62674,23.33449,0.045,0,250,---,96
HY29BG,BG,Sandanski I,Small Hydro - Dammed,14.2,0,BG,41.58536,23.2905,0.03,0,230,---,111
HY30BG,BG,Alexander Stambolyski,Small Hydro - Dammed,10.24,0,BG,43.1213,25.171,200,0,50,---,106
HY31BG,BG,Barzia,Small Hydro - Dammed,8,0,BG,43.19,23.167,0.03,0,251,---,111
HY32BG,BG,Petrohan,Small Hydro - Dammed,7.8,0,BG,43.12,23.12,0.14,0,529,---,102
HY33BG,BG,Koprinka,Small Hydro - Dammed,7,0,BG,42.6125,25.3198,142.4,0,24,---,108
HY34BG,BG,Klisoura,Small Hydro - Dammed,3.5,0,BG,43.16859,23.15498,0.05,0,124.6,---,111
HY35BG,BG,Vacha I & II,Small Hydro - Dammed,14,0,BG,42.06433,24.48453,0.851388889,0,172,---,111
HY1CZ,CZ,Orlík EORK,Large Hydro - Dammed,360,0,CZ,49.6064,14.1812,716.5,0,91,1961,87
HY4CZ,CZ,Slapy ESLA,Large Hydro - Dammed,144,0,CZ,49.82354,14.434501,269.3,0,70,1955,96
HY5CZ,CZ,Lipno ELI1,Large Hydro - Dammed,120,0,CZ,48.6333,14.2375,306,0,42,1958,95
HY12CZ,CZ,Štěchovice ESTE,Small Hydro - Dammed,22.5,0,CZ,49.84625,14.42176,11.2,0,22.5,---,89
HY14CZ,CZ,Vir I,Small Hydro - Dammed,12,0,CZ,49.56625,16.30875,53.142,0,78,---,82
HY15CZ,CZ,Nechranice,Small Hydro - Dammed,11,0,CZ,50.36625,13.412917,287.562,0,52,---,94
HY16CZ,CZ,Hnevkovice,Small Hydro - Dammed,9.6,0,CZ,49.180417,14.447083,22.2,0,31,---,100
HY17CZ,CZ,Vrane,Small Hydro - Dammed,9.4,0,CZ,49.9381,14.3749,11.1,0,10,---,96
HY18CZ,CZ,Slezska Harta,Small Hydro - Dammed,3,0,CZ,49.89125,17.579583,217,0,65,---,96
HY19CZ,CZ,Vranov EVR,Small Hydro - Dammed,18.9,0,CZ,49.9381,14.3749,122.665,0,59,---,83
HY895DE,DE,Walchensee / Isar,Large Hydro - Dammed,125.6,0,DELU,47.631354,11.337054,1.324,0,200,---,79
