Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0.659574468,0,0.659898477,0,0,0.527583528,0,0.712962963,0,0.754766949,0.741761684,0.541420118,0.341106164,0,0.255102041,0.780487805,0.909090909,0.380169867,0.511111111,0.931474104,0.334949317,0.430664063,0.218671152,0.383862123,0,0,0,0,0.602323503,0.666972477,0.631474104,0.626702997,0.432692308,0.477477477,0.421818182,0,0.548888889,0.514942529,0.601214575,0,0.508474576
2,1,0.659574468,0,0.664974619,0,0,0.537684538,0,0.694444444,0,0.751588983,0.725848891,0.49408284,0.299273494,0,0.255102041,0.780487805,0.909090909,0.376661743,0.511111111,0.913545817,0.322609079,0.41015625,0.227081581,0.363885625,0,0,0,0,0.570151921,0.668807339,0.629482072,0.626702997,0.432692308,0.477477477,0.406993007,0,0.415555556,0.473563218,0.492408907,0,0.474576271
3,1,0.680851064,0,0.670050761,0,0,0.536519037,0,0.689814815,0,0.742584746,0.696529257,0.48816568,0.28614952,0.002516779,0.255102041,0.780487805,0.954545455,0.380539143,0.507936508,0.915139442,0.244601146,0.37890625,0.227922624,0.348217783,0,0,0,0,0.495084897,0.670642202,0.629482072,0.623978202,0.432692308,0.468468468,0.421258741,0,0.297777778,0.402298851,0.36082996,0,0.406779661
4,1,0.680851064,0,0.670050761,0,0,0.517482517,0,0.703703704,0,0.73940678,0.676606941,0.49112426,0.283454418,0.089765101,0.255102041,0.780487805,0.909090909,0.378692762,0.504761905,0.861354582,0.249008374,0.375,0.225399495,0.357226792,0,0,0,0,0.444146559,0.670642202,0.625498008,0.621253406,0.432692308,0.468468468,0.405594406,0,0.224444444,0.418390805,0.224696356,0,0.423728814
5,1,0.680851064,0,0.659898477,0,0,0.514763015,0,0.694444444,0,0.730402542,0.66996617,0.5,0.280524959,0.183724832,0.255102041,0.780487805,0.863636364,0.382016248,0.504761905,0.896015936,0.267518731,0.352539063,0.213624895,0.342734038,0,0,0,0,0.392314567,0.670642202,0.623505976,0.607629428,0.432692308,0.477477477,0.400559441,0,0.284444444,0.43908046,0.191801619,0,0.440677966
6,1,0.680851064,0,0.649746193,0,0,0.520590521,0,0.694444444,0,0.725105932,0.654554567,0.5,0.291305367,0.420302013,0.255102041,0.780487805,0.818181818,0.388293944,0.504761905,0.899601594,0.323931247,0.3515625,0.213624895,0.354093224,0,0,0,0,0.421805183,0.669724771,0.621513944,0.613079019,0.432692308,0.468468468,0.453986014,0,0.36,0.388505747,0.208502024,0,0.389830508
7,1,0.680851064,0,0.644670051,0,0,0.518259518,0,0.712962963,0,0.745762712,0.654805162,0.532544379,0.342512304,0.591442953,0.255102041,0.780487805,0.818181818,0.395125554,0.507936508,0.896015936,0.328338475,0.4296875,0.248948696,0.419114767,0,0,0,0,0.434316354,0.669724771,0.61752988,0.607629428,0.442307692,0.468468468,0.422377622,0,0.26,0.425287356,0.253036437,0,0.423728814
8,1,0.680851064,0,0.634517766,0,0,0.512820513,0,0.685185185,0,0.742584746,0.669715574,0.582840237,0.375673775,0.608221477,0.255102041,0.780487805,0.818181818,0.392171344,0.526984127,0.858964143,0.319083297,0.4140625,0.304457527,0.428515472,0,0,0,0,0.472743521,0.670642202,0.615537849,0.607629428,0.442307692,0.477477477,0.413706294,0,0.271111111,0.395402299,0.313765182,0,0.389830508
9,1,0.659574468,0,0.649746193,0,0,0.51981352,0,0.685185185,0,0.743644068,0.682120035,0.639053254,0.363018514,0.651006711,0.255102041,0.780487805,0.818181818,0.393279173,0.53015873,0.844621514,0.419568092,0.443359375,0.40117746,0.447708578,0,0,0,0,0.605898123,0.673394495,0.611553785,0.602179837,0.442307692,0.477477477,0.423216783,0,0.351111111,0.427586207,0.430668016,0,0.423728814
10,1,0.659574468,0,0.644670051,0,0,0.532634033,0,0.708333333,0,0.74470339,0.68237063,0.562130178,0.364893368,0.723993289,0.255102041,0.780487805,0.818181818,0.39457164,0.542857143,0.847808765,0.491405906,0.42578125,0.365012616,0.463768116,0,0,0,0,0.719392315,0.673394495,0.603585657,0.599455041,0.442307692,0.468468468,0.413706294,0,0.431111111,0.485057471,0.561740891,0,0.491525424
