ID,Name,Product,Electric capacity,zone_el,Latitude,Longitude,Demand price
PtX1BE,HyOffWind Zeebrugge Phase1,Hydrogen,1.0,BE,51.3313458,3.2068372,48.60676883
PtX2BE,HyOffWind Zeebrugge Phase2,Hydrogen,24.0,BE,51.3313458,3.2068372,49.84382679
PtX4BE,Hyport,Hydrogen,50.0,BE,51.22642,2.93136,53.57951733
PtX5BE,Don Quichote,Hydrogen,0.3,BE,50.72983,4.22182,48.20263932
PtX6BE,Green Methanol,Methanol,5.0,BE,51.24127,4.40738,40.2575598
PtX7BE,HRS CMB Port of Antwerp,Hydrogen,1.0,BE,51.24127,4.40738,52.30241158
PtX11BE,"North CCU HUB, North-C Methanol Demo plant",Methanol,63.0,BE,0.0,0.0,36.36270883
PtX14BE,Wallonia e- methane project,Methane,75.0,BE,0.0,0.0,54.12420718
PtX1CZ,Greening of Gas,Hydrogen,0.5,CZ,48.967966,16.655186,47.99292191
PtX2CZ,CZ H2 strategy target phase 1,Hydrogen,150.0,CZ,0.0,0.0,52.50915312
PtX4DK,Brande Hydrogen,Hydrogen,0.4,DK1,55.95606,9.12131,53.57951733
PtX10DK,HRS Aalborg,Hydrogen,0.3,DK1,57.04511,9.93654,51.69439896
PtX12DK,HyBalance,Hydrogen,1.2,DK1,56.62786,9.82469,53.70554104
PtX13DK,Greenlab Skive Phase 1,Hydrogen,12.0,DK1,56.64594,8.97784,47.72777863
PtX14DK,Greenlab Skive Phase 2,Hydrogen,88.0,DK1,56.64594,8.97784,55.85682926
PtX20DK,H2RES,Hydrogen,2.0,DK2,55.60376,12.48105,48.18266726
PtX21DK,Reddap,Ammonia,10.0,DK1,56.50592,8.18201,61.21138841
PtX29DK,Power2Met,Methanol,0.26,DK1,57.27437,9.95272,40.29625203
PtX31DK,HFC Marine,Hydrogen,0.5,DK1,56.62786,9.82469,53.44601533
PtX33DK,Estech,Hydrogen,2.0,DK1,55.08400731,10.6312822,55.44601533
PtX2DE,AquaPrimus,Hydrogen,42.0,DELU,53.861701,8.694068,53.4368117
PtX6DE,Hybridge,Hydrogen,100.0,DELU,52.31266,7.40002,47.77222637
PtX7DE,HySynGas,Methane,50.0,DELU,53.8901,9.17256,53.445893
PtX8DE,Bad LauchstÃ¤dt energy park,Hydrogen,35.0,DELU,51.38523,11.88348,52.903418
PtX9DE,WestkÃ¼ste,Hydrogen,30.0,DELU,54.196111,9.093333,49.12164843
PtX10DE,Lingen BP Refinery ,Hydrogen,15.0,DELU,52.55865,7.30993,47.29848003
PtX11DE,REFHYNE,Hydrogen,10.0,DELU,50.85534,6.97678,56.35989511
PtX12DE,Energiepark Mainz,Hydrogen,6.0,DELU,49.94482,8.253,49.73123312
PtX13DE,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",Methane,6.0,DELU,52.87015,7.67239,46.00765983
PtX14DE,H&R Ãlwerke Hamburg-Neuhof,Hydrogen,5.0,DELU,53.51495,9.9525,46.70811658
PtX15DE,Maximator,Hydrogen,2.5,DELU,51.49335,10.792,49.67397069
PtX16DE,Wind to gas BrunsbÃ¼ttel,Hydrogen,2.4,DELU,53.89287,9.17844,46.93346092
PtX17DE,Salzgitter Clean Hydrogen project,Hydrogen,2.2,DELU,52.17002,10.43087,45.11618957
PtX18DE,PtG-Fehndorf	,Hydrogen,2.0,DELU,52.77946,7.10719,46.84914913
PtX19DE,Carbon2Chem,Hydrogen,2.0,DELU,51.4587,6.99485,45.84999487
PtX20DE,Uniper/E-ON WindGas Falkenhagen Hydrogen Pilot Project,Hydrogen,2.0,DELU,53.19967,12.23368,51.90745034
PtX21DE,PtG plant Hamburg-Reitbrook,Hydrogen,1.5,DELU,53.47581,10.10102,48.07961257
PtX22DE,Leuchtturmprojekt Power-to-Gas Baden-WÃ¼rttemberg,Hydrogen,1.3,DELU,47.53881,7.70757,50.91859106
PtX23DE,Hassfurt,Hydrogen,1.25,DELU,50.0296,10.52502,53.784297
PtX24DE,HYPOS (Leipzig),Hydrogen,1.25,DELU,51.49379,11.93799,48.39929525
PtX25DE,eFarm,Hydrogen,1.125,DELU,54.78231,8.85001,46.16325342
PtX26DE,Kopernikus 2.0,Methane,1.0,DELU,49.10027,8.43101,51.22297471
PtX27DE,H2ORIZON,Hydrogen,1.0,DELU,49.28248,9.37566,45.30027191
PtX28DE,MEFCO2,Methane,1.0,DELU,51.61151,7.52704,44.68559321
PtX29DE,"Windgas Haurup, 1st phase",Hydrogen,1.0,DELU,54.71845,9.31623,51.26214763
PtX30DE,"RH2 Grapzow, Mecklenburg Vorpommern",Hydrogen,1.0,DELU,53.71272,13.28947,53.58759064
PtX31DE,P2G plant Erdgas Schwaben,Hydrogen,1.0,DELU,50.30736,8.51576,46.76003637
PtX32DE,Dezentrale Energieversorgung fÃ¼r LÃ¼besse,Methane,10.0,DELU,53.48991,11.46295,54.34767182
PtX33DE,Methquest,Methane,2.0,DELU,49.01485,8.41544,53.37420776
PtX34DE,Hy2Chem,Hydrogen,5.0,DELU,51.32802,12.02357,46.93133218
PtX39DE,"Wunsiedel Energy Park, 1st phase",Hydrogen,6.0,DELU,0.0,0.0,53.96584498
PtX40DE,Linde Leuna Chemical Complex,Hydrogen,24.0,DELU,0.0,0.0,45.12756032
PtX41DE,RWE-Thyssenkrupp Duisburg steel plant,Hydrogen,100.0,DELU,0.0,0.0,53.1107669
PtX42DE,Vattenfall's Moorburg plant,Hydrogen,100.0,DELU,0.0,0.0,55.06525628
PtX43DE,Trailblazer (Phase 1),Hydrogen,20.0,DELU,0.0,0.0,53.14281275
PtX44DE,Ineratec PtL Frankfurt ,Hydrogen,10.0,DELU,0.0,0.0,51.13494393
PtX45DE,HyBit,Hydrogen,10.0,DELU,0.0,0.0,51.17620433
PtX5ES,Power to Green H2 Mallorca - Phase 2,Hydrogen,7.5,ES,39.72501,2.8597,48.20263932
PtX6ES,ELYGRID (R&D),Hydrogen,2.6,ES,41.64139,-0.99571,53.2996364
PtX7ES,Power to Green H2 Mallorca - Phase 1,Hydrogen,2.5,ES,39.72501,2.8597,52.30241158
