ID,Country,Name,Product,Electric capacity,zone_el,Demand price
PtX1BE,BE,HyOffWind Zeebrugge Phase1,Hydrogen,6.92E-02,BE,39.81841934
PtX2BE,BE,Hyport,Hydrogen,3.461382508,BE,45.02806105
PtX3BE,BE,Green Methanol,Methanol,5,BE,79.80266339
PtX5BE,BE,Don Quichote,Hydrogen,6.92E-02,BE,44.06386637
PtX6BE,BE,HRS CMB Port of Antwerp,Hydrogen,6.92E-02,BE,36.71892247
PtX8BE,BE,Hyoffwind Zeebrugge,Hydrogen,1.730691254,BE,45.11562924
PtX9BE,BE,North CCU HUB phase 1 North C Hydrogen,Hydrogen,4.499797261,BE,36.67883258
PtX10BE,BE,North CCU HUB phase 3 Deltaurus 4,Hydrogen,20.76829505,BE,39.02410841
PtX11BE,BE,HaYrport,Hydrogen,5.19E-02,BE,44.71780011
PtX12BE,BE,North CCU HUB phase 2 NorthC full scale,Hydrogen,16.40695309,BE,47.9351972
PtX13BE,BE,HRS Halle,Hydrogen,2.08E-02,BE,46.27897856
PtX14BE,BE,Wallonia emethane project,Methane,75,BE,13.75559474
PtX15BE,BE,AM Gent H2 consumption Hub,Hydrogen,35.96172377,BE,44.97158774
PtX16BE,BE,Plug Power Port of AntwerpBruges,Hydrogen,6.922765017,BE,45.39537213
PtX17BE,BE,Hydrogen Offshore Production Europe HOPE,Hydrogen,0.692276502,BE,42.34310511
PtX18BE,BE,Terranova Hydrogen,Hydrogen,0.173069125,BE,43.19067923
PtX19BE,BE,New electrolysis507725640973672263850270165499,Hydrogen,69.22765017,BE,43.19067923
PtX20BE,BE,New electrolysis507725640973672263850270165499,Hydrogen,69.22765017,BE,43.19067923
PtX21BE,BE,New electrolysis507725640973672263850270165499,Hydrogen,69.22765017,BE,43.19067923
PtX22BE,BE,New electrolysis507725640973672263850270165499,Hydrogen,69.22765017,BE,43.19067923
PtX1CZ,CZ,Greening of Gas,Hydrogen,0.069177745,CZ,39.44146563
PtX2CZ,CZ,Hydrogen Eagle Spolana phase 2,Hydrogen,4.150664697,CZ,42.92997395
PtX3CZ,CZ,AEM Nexus for Unigranit,Hydrogen,0.069177745,CZ,45.02806105
PtX4CZ,CZ,New electrolysis507725640973672527320128610563,Hydrogen,138.3554899,CZ,43.19067923
PtX5CZ,CZ,New electrolysis507725640973672527320128610563,Hydrogen,138.3554899,CZ,43.19067923
PtX2DK,DK,Brande Hydrogen,Hydrogen,6.88E-02,DK1,45.02806105
PtX3DK,DK,Eurowind Phase 1  Hejring,Hydrogen,6.015642801,DK1,39.65118304
PtX6DK,DK,Strandmollen Ejby,Hydrogen,8.59E-02,DK1,40.85332915
PtX9DK,DK,Reddap,Ammonia,10,DK1,22.3148276
PtX11DK,DK,HFC Marine,Hydrogen,8.59E-02,DK1,44.89455905
PtX12DK,DK,Biogas Holsted,Hydrogen,3.437510172,DK1,45.89455905
PtX13DK,DK,Estech,Hydrogen,0.343751017,DK1,46.89455905
PtX14DK,DK,Kasso  European Energy,Hydrogen,8.593775429,DK1,47.89455905
PtX15DK,DK,Made  Europen Energy,Hydrogen,2.062506103,DK1,48.89455905
PtX16DK,DK,Megaton,Hydrogen,1.718755086,DK1,48.89455905
PtX17DK,DK,Glansager,Hydrogen,1.031253052,DK1,49.89455905
