Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0.211978861,0.444291609,0.357142857,0.288487463,0.302486188,0.144316028,0.491349481,0.09531697,0.118250951,0.084568664,0.216553637,0.493723849,0.342373792,0.327272727,0.53909465,0.755555556,0.072194533,0.663186258,0.436899983,0.008727907,0.480769231,0.07755102,0.691220989,0.591695502,0.518753829,1,0.615289762,0.460317031,0.383211465,0.897590361,0.315115286,0.595896521,0.210613599,0.536831483,0.353846154,0.495726496,0.944444445,0.065239551,0.565085772,0.404761905,0.376649746
2,1,0.173810922,0.42090784,0.325,0.343488811,0.312154696,0.141571171,0.529411765,0.098177985,0.116730038,0.087296685,0.204608508,0.490934449,0.345864662,0.309090909,0.510288066,0.67654321,0.074460051,0.668575278,0.436376331,0.010255291,0.525761974,0.07755102,0.681130172,0.588235294,0.453248836,0.453248836,0.655388423,0.525985749,0.374378473,0.921686747,0.342442357,0.548617306,0.177446103,0.542885974,0.292307692,0.70940171,0.944444445,0.103975535,0.522704339,0.42063492,0.497461929
3,1,0.115678215,0.482806052,0.371428571,0.423025074,0.330110497,0.135077765,0.46366782,0.114139437,0.137262357,0.087502574,0.210850801,0.489539749,0.420784103,0.327272727,0.452674897,0.614814815,0.064793838,0.62377905,0.418223076,0.01418285,0.629535559,0.063265306,0.661957619,0.519031142,0.439302118,0.439302118,0.694015497,0.586207366,0.355776543,0.921686747,0.33646456,0.558429973,0.167495854,0.510595358,0.276923077,0.82051282,0.944444445,0.182466871,0.438950555,0.365079365,0.486294416
4,1,0.112155021,0.592847318,0.371428571,0.46697223,0.350828729,0.135857708,0.380622837,0.148019877,0.169201521,0.085803994,0.20275894,0.49790795,0.494360902,0.327272727,0.471193416,0.702880658,0.064189699,0.575614685,0.402338977,0.018983199,0.636429608,0.071428571,0.644803229,0.452792882,0.449337964,0.449337964,0.723223479,0.609163541,0.349809886,0.921686747,0.343296328,0.534344336,0.15920398,0.470232089,0.184615385,0.735042735,0.944444445,0.334352701,0.34308779,0.396825397,0.462944162
5,1,0.098649442,0.665749656,0.225,0.499595578,0.417127072,0.139167885,0.422145329,0.183556693,0.2121673,0.083642166,0.195206535,0.490934449,0.511009667,0.418181818,0.514403292,0.691358025,0.065549011,0.499831593,0.407924594,0.021383373,0.655297533,0.115306122,0.625630676,0.44340089,0.359426765,0.359426765,0.765886246,0.638661521,0.373501024,0.93373494,0.344150299,0.468331847,0.16252073,0.43592331,0.184615385,0.623931624,0.944444445,0.4872579,0.263370333,0.404761905,0.504568528
6,1,0.097475044,0.66437414,0.164285714,0.499865193,0.454419889,0.138748028,0.515570934,0.173016112,0.251711027,0.082973029,0.180409988,0.479776848,0.482948442,0.309090909,0.572016461,0.648559671,0.060111766,0.385988548,0.407575493,0.024874536,0.705732946,0.110204082,0.590312815,0.426594167,0.451381618,0.451381618,0.779659642,0.704140833,0.419011407,0.915662651,0.338172502,0.442462088,0.152570481,0.41876892,0.153846154,0.743589744,0.888888889,0.597349643,0.2209889,0.380952381,0.504568528
7,1,0.074574281,0.702888583,0.146428571,0.486654085,0.477900552,0.131107933,0.519031142,0.154494805,0.274524715,0.078546428,0.168387793,0.430962343,0.501074114,0.327272727,0.58436214,0.597530864,0.054523486,0.297743348,0.378425554,0.022692559,0.744194485,0.105102041,0.545913219,0.434997528,0.568560998,0.568560999,0.830304045,0.701257224,0.428078385,0.843373494,0.324508967,0.52631579,0.165837479,0.399596367,0.153846154,0.837606837,0.861111111,0.685015291,0.193743693,0.380952381,0.458883249
8,1,0.075748679,0.674002751,0.121428571,0.517390132,0.42679558,0.125432365,0.44982699,0.153741906,0.287452472,0.072060943,0.147734279,0.443514644,0.491272825,0.345454546,0.588477366,0.49218107,0.052409002,0.240485012,0.385582126,0.022910757,0.755805515,0.120408163,0.480322906,0.470588235,0.566253854,0.566253854,0.840001707,0.757273388,0.441708102,0.84939759,0.316823228,0.563782337,0.160862355,0.413723512,0.2,0.692307692,0.5,0.69520897,0.195761857,0.404761905,0.467005076
9,1,0.086318262,0.609353507,0.114285714,0.561606902,0.436464088,0.125687404,0.505190311,0.181448577,0.281368821,0.060942969,0.130548705,0.463040446,0.456364125,0.418181818,0.635802469,0.372839506,0.061320042,0.195688784,0.407924594,0.027929304,0.698476052,0.154081633,0.31987891,0.524962926,0.635378684,0.635378684,0.849390098,0.772867297,0.469610997,0.879518072,0.298035867,0.560214095,0.135986733,0.448032291,0.138461538,0.658119658,0.25,0.758409786,0.182643794,0.388888889,0.47715736
10,1,0.064591897,0.618982118,0.053571429,0.588837962,0.466850829,0.120449444,0.429065744,0.212166842,0.278707224,0.050288244,0.125077065,0.419804742,0.444414608,0.490909091,0.674897119,0.333333333,0.064038665,0.195015157,0.434456275,0.035129828,0.650943396,0.175510204,0.269424823,0.586258033,0.676510091,0.676510091,0.846723949,0.793055111,0.459608073,0.86746988,0.308283518,0.576271186,0.147595357,0.48839556,0.092307692,0.615384615,0.666666667,0.805300714,0.211907164,0.412698413,0.497461929
