Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0,0,0,0,0,0,0,0,0,0.001606336,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000535928,0.000261748,0.000656748,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0.001606336,0,0,8.78E-05,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000452096,0.000260717,0.000594049,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0.001606336,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000497006,0.00030338,0.00063762,5.27E-07,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0.001713439,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.00042515,0.000270816,0.000693943,4.39E-08,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0.00278433,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000508982,0.000258244,0.000652497,7.90E-06,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0.000472869,0.003212673,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000535928,0.000277205,0.000700319,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0.061606032,0.005441353,0,0,0,0,0,0.062411354,0.003319775,0,0,0.005004827,0,0,0.006041525,0,0,0.001529622,0,0.025701029,0,0.002666667,0,0,0.000550898,0.000315746,0.000640808,2.19E-06,0,0,0,0,0,0,0.08778125,0.136666075,0.153216,0.007991489,0.002262857,0.063335
8,1,0,0.254125311,0.036880255,0,0,0.01131692,0.009091566,0,0.259574418,0.007174974,0.023594438,0.065217333,0.088769865,0.009559633,0.0338984,0.087481872,0,0,0.01682598,0.001589872,0.161214879,0.049586817,0.002666667,0,0,0.000419162,0.000278236,0.000744952,1.67E-06,0,0,0,0,0,0,0.43221875,0.32555595,0.488888,0.085617021,0.070137143,0.275555
9,1,0,0.46424658,0.175937125,0.013755038,0.019292589,0.094102372,0.036363855,0,0.425059144,0.091561351,0.086288253,0.195652,0.276407058,0.080045872,0.0338984,0.246495817,0.008010673,0.016722417,0.054302101,0.096979384,0.307242976,0.165289389,0.069333333,0.007100801,0,0.000488024,0.000260099,0.000853348,6.11E-05,0.003545803,0.003547302,0.003540541,0,0.003541637,0.00933551,0.6644375,0.613333925,0.711112,0.189497872,0.210408571,0.506665
10,1,0.022249327,0.573157338,0.353688075,0.044016509,0.067524276,0.20519646,0.072727711,0.05190304,0.551773051,0.246947948,0.197384383,0.347826667,0.454210212,0.230587156,0.118644,0.421459715,0.06942591,0.063545167,0.11739965,0.337042907,0.411214879,0.260330654,0.237333333,0.018934579,0,0.000661677,0.000630668,0.004842721,0.010445351,0.080377723,0.080377248,0.080378378,0,0.080381969,0.029654082,0.798875,0.811111901,0.833918,0.280821277,0.367645714,0.744445
11,1,0.077720192,0.572057214,0.466142665,0.07015125,0.102893952,0.295051494,0.063636145,0.170703369,0.586761194,0.365710004,0.283133353,0.413044,0.579594346,0.297495413,0.118644,0.498066625,0.189586121,0.132107,0.104397689,0.553259116,0.482476652,0.322314041,0.4,0.03431976,0,0.00289521,0.001893652,0.013001063,0.060918828,0.163120864,0.163119365,0.163121622,0,0.163118264,0.035694694,0.84778125,0.853333925,0.876024,0.339042553,0.460408571,0.81222
12,1,0.129533654,0.490648943,0.496977081,0.093535081,0.102893952,0.336465959,0.036363855,0.214533279,0.531442042,0.441636334,0.327086416,0.391304,0.605584327,0.125449541,0.118644,0.478250387,0.312416557,0.193979917,0.091778221,0.659777477,0.491822517,0.260330654,0.48,0.028402537,5.41E-05,0.008622754,0.003288335,0.015431456,0.100525558,0.186761097,0.186763334,0.186756757,0,0.186763005,0.049423367,0.82221875,0.817777975,0.846784,0.384702128,0.507917143,0.75889
13,1,0.146601635,0.33003296,0.397218899,0.094910658,0.093247445,0.309659545,0.018180723,0.175317173,0.408983401,0.470014988,0.317378997,0.304348,0.547106865,0.069293578,0.1016952,0.355485745,0.347129511,0.217391333,0.066921639,0.712241593,0.371495251,0.256198285,0.506666667,0.005917223,5.41E-05,0.00858982,0.003476505,0.010671626,0.105328024,0.164301249,0.164301799,0.164297297,0,0.164305575,0.049423367,0.7155625,0.703333925,0.74152,0.340182979,0.438914286,0.634445
14,1,0.147820769,0.146314677,0.211608163,0.050894149,0.048231687,0.214101656,0,0.111880033,0.219858139,0.468301571,0.252797634,0.173913333,0.371498808,0.003587156,0.0338984,0.1737555,0.253671545,0.193979917,0.029827941,0.707472233,0.177570044,0.144628081,0.384,0,0,0.005428144,0.002341921,0.008143464,0.095134088,0.065014127,0.065010317,0.065013514,0,0.065007814,0.041735306,0.51221875,0.507777975,0.555556,0.195204255,0.276017143,0.446665
15,1,0.107893942,0.024202425,0.060459493,0.009628551,0.009646508,0.077510391,0,0.055363188,0.062411354,0.439708713,0.139948758,0.065217333,0.163139865,0,0.0169488,0.037457701,0.092122836,0.13043475,0.004206513,0.62798093,0.028037396,0.049586817,0.157333333,0,0,0.001613772,0.001075021,0.004437832,0.06223268,0,0,0,0,0,0.021416837,0.19334375,0.196666075,0.263158,0.03767234,0.116517143,0.11
16,1,0.046936923,0,0.00665057,0,0,0.003739681,0,0.01730074,0.000945599,0.328228733,0.044492392,0,0.016331538,0,0,0.000483266,0.001335131,0.058528417,0.000382423,0.446740884,0,0,0.026666667,0,0,0.000547904,0.000375721,0.001422954,0.021322057,0,0,0,0,0,0.003294898,0,0,0,0,0,0
17,1,0.005181346,0,0,0,0,0,0,0,0,0.132148215,0.017662116,0,0,0,0,0,0,0.010033417,0,0.1494435,0,0,0.002666667,0,0,0.000479042,0.000301937,0.000751328,0.001541705,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0.020132789,0,0,0,0,0,0,0,0,0,0.004769488,0,0,0.002666667,0,0,0.000577844,0.00029122,0.000726886,2.37E-06,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0.009316778,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000583832,0.000325845,0.000712009,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0.007282076,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.00047006,0.000305647,0.000795962,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0.006853711,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000488024,0.000298228,0.000717322,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0.006639528,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.0005,0.000325433,0.000701382,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0.00674663,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000458084,0.00032399,0.000703507,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0.00674663,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000505988,0.000308326,0.000668438,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0.00674663,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000413174,0.000261954,0.000671626,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0.005140294,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000541916,0.000296373,0.000565356,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0.003105593,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000443114,0.000243817,0.000643996,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0.001713439,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000538922,0.00024629,0.000698193,3.51E-06,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0.001713439,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.00045509,0.000245878,0.000676939,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0.001100124,0,0,0,0,0,0,0.000472869,0.001606336,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000517964,0.000247527,0.000695005,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0.088008706,0.005441353,0,0,0,0,0,0.060047287,0.001606336,0,0,0.005180442,0,0,0.003383328,0,0,0.003059244,0,0.02920558,0,0.002666667,0,0,0.000526946,0.000259068,0.000629118,0,0,0,0,0,0,0,0.09665625,0.177777975,0.16959,0.017123404,0.027148571,0.08222
32,1,0,0.337733831,0.036275647,0,0,0.012969198,0.009091566,0,0.272813224,0.003855221,0.02170689,0.065217333,0.104135577,0,0.0169488,0.062590641,0,0,0.02447416,0,0.189252275,0.037190247,0.002666667,0,0,0.000550898,0.000268137,0.000566419,0,0,0,0,0,0,0,0.451125,0.46555595,0.500584,0.170089362,0.368777143,0.37111
33,1,0,0.585258396,0.173518691,0.001375577,0.006431005,0.094913499,0.018180723,0,0.467139489,0.068215889,0.076580834,0.217390667,0.30230925,0.007165138,0.0338984,0.183421909,0.10146864,0.016722417,0.082982773,0.054054117,0.390186981,0.13636388,0.058666667,0.002367156,0,0.000616766,0.000258038,0.000738576,6.77E-05,0,0,0,0,0,0.010982959,0.66778125,0.712222025,0.71345,0.38013617,0.613122857,0.655555
34,1,0.019811058,0.721672264,0.317412305,0.009628551,0.025723595,0.185239061,0.027272289,0.001153657,0.559810852,0.198008139,0.203316705,0.391304,0.478795327,0.017917431,0.1016952,0.298695073,0.29639521,0.066889667,0.182791597,0.216216209,0.508177483,0.231405145,0.194666667,0.00946729,0,0.000541916,0.000722383,0.003105207,0.014219122,0.029551454,0.029551429,0.029554054,0,0.029550851,0.026359184,0.78665625,0.823333925,0.831578,0.627855319,0.75,0.794445
35,1,0.049070385,0.751375,0.409915308,0.016506191,0.048231687,0.246891621,0.018180723,0.006920296,0.617966941,0.290854564,0.27045975,0.5,0.576169981,0.027477064,0.118644,0.342436009,0.425901188,0.145484917,0.150669188,0.346581884,0.530373763,0.301652733,0.317333333,0.010650868,0,0.001107784,0.003213726,0.00838576,0.046547672,0.06855993,0.068557619,0.068554054,0,0.068559599,0.059308061,0.83,0.858888099,0.872514,0.740868085,0.803168571,0.835555
36,1,0.066747981,0.694169465,0.414147567,0.017881767,0.054662266,0.260116922,0.018180723,0.01730074,0.577777793,0.358963373,0.305784006,0.5,0.581262615,0.025091743,0.1016952,0.326727921,0.460614143,0.217391333,0.125047829,0.357710604,0.483644836,0.276859593,0.381333333,0.011834446,2.70E-05,0.00138024,0.007088005,0.015831031,0.068095345,0.075651535,0.075652223,0.075648649,0,0.075653021,0.062053776,0.8044375,0.823333925,0.843274,0.748859574,0.783937143,0.80222
37,1,0.071319712,0.521452114,0.339177718,0.015130614,0.041800681,0.218616442,0.009091566,0.062283484,0.487470498,0.388198757,0.284211943,0.413044,0.525243654,0.008366972,0.118644,0.249879145,0.424566094,0.249163917,0.082217997,0.310015848,0.350467353,0.268594855,0.368,0.003550067,0,0.001458084,0.007144889,0.018062699,0.064479882,0.046100082,0.046100794,0.046094595,0,0.04610217,0.062602959,0.70778125,0.712222025,0.74152,0.605021277,0.688914286,0.69
38,1,0.064919231,0.254125311,0.200120971,0.008252974,0.019292589,0.137953899,0,0.06920378,0.309692705,0.393874497,0.228663889,0.239130667,0.361664769,0,0.0338984,0.132431051,0.307076108,0.222408,0.03747612,0.235294163,0.155373763,0.157024652,0.32,0,0,0.001311377,0.003822135,0.012121148,0.052455618,0.01182244,0.011819629,0.011824324,0,0.01182237,0.056013163,0.528875,0.51555595,0.553216,0.372144681,0.505657143,0.48889
39,1,0.048460865,0.04070398,0.057436573,0.001375577,0.003215503,0.042361385,0,0.044982744,0.095981029,0.369458122,0.136173661,0.086956,0.158310654,0,0.0169488,0.03504106,0.124165566,0.147157167,0.006118557,0.165341837,0.02219628,0.053719185,0.181333333,0,0,0.000820359,0.001070692,0.004261424,0.033571936,0,0,0,0,0,0.029654082,0.23665625,0.20555595,0.25965,0.100455319,0.204751429,0.165555
40,1,0.022858846,0,0.007255178,0,0,0.00159191,0,0.010380444,0.001891198,0.275005361,0.052851546,0,0.0154535,0,0,0.000483266,0.002670224,0.063545167,0.000382423,0.07790143,0.001168184,0,0.050666667,0,0,0.000517964,0.000318219,0.001004251,0.011951779,0,0,0,0,0,0.006589796,0,0,0,0,0,0
41,1,0.002438269,0,0,0,0,0,0,0,0,0.105054612,0.017796943,0,0,0,0,0,0,0.013377917,0,0.019077954,0.001168184,0,0.002666667,0,0,0.000595808,0.000273495,0.000659936,0.001186872,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,0,0.016920116,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.00055988,0.000271641,0.000616366,5.79E-06,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0.004926112,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000556886,0.000339448,0.000663124,4.87E-05,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000553892,0.000338005,0.000652497,4.47E-05,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.00058982,0.000353875,0.00072051,2.19E-07,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000571856,0.000310594,0.000718385,2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000562874,0.000280915,0.000713071,2.68E-06,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000547904,0.000294312,0.000553666,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000520958,0.000341096,0.000687566,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000538922,0.0003108,0.000669501,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000550898,0.000267106,0.000664187,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000520958,0.000313067,0.000715197,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0,0,0,0.002248884,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0.000526946,0.000284007,0.000640808,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0.001100124,0,0,0,0,0,0,0.000945599,0.002248884,0,0,0,0,0,0,0,0,0.000382423,0,0,0,0.002666667,0,0,0.00052994,0.000285449,0.000664187,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0.071507152,0.006045962,0,0,0,0,0,0.083215093,0.002248884,0,0,0.004390192,0,0,0.001208243,0,0,0.004971289,0,0.015186981,0,0.002666667,0,0,0.000443114,0.000313685,0.000690755,0,0,0,0,0,0,0,0.09665625,0.201111901,0.159064,0.081051064,0.029411429,0.15778
56,1,0,0.262926306,0.024183846,0,0,0.007703052,0,0,0.289834565,0.005889922,0.02130241,0.086956,0.089033269,0.001192661,0.0338984,0.023924543,0,0,0.022562115,0,0.113317768,0.041322079,0.002666667,0,0,0.000571856,0.00031554,0.000609989,0,0,0,0,0,0,0,0.44778125,0.49444405,0.477192,0.386987234,0.374434286,0.48111
57,1,0,0.524752488,0.086457041,0.00275091,0.003215503,0.051106815,0.009091566,0,0.477541359,0.06543156,0.066873391,0.260869333,0.239704981,0.01433945,0.0338984,0.070807096,0.037383179,0.016722417,0.068833683,0.03338629,0.268691531,0.144628081,0.016,0.004733645,0,0.000568862,0.0003277,0.000621679,4.63E-05,0.007091605,0.007089893,0.007094595,0,0.007093422,0.015925306,0.66,0.69,0.68655,0.654110638,0.609728571,0.68889
58,1,0.010362692,0.609460821,0.149939576,0.024759165,0.009646508,0.09450854,0.009091566,0.033448644,0.585342726,0.166095528,0.147094519,0.434782667,0.366493981,0.028669725,0.118644,0.108023241,0.117489987,0.063545167,0.154493277,0.154212988,0.431074792,0.231405145,0.061333333,0.015384513,0,0.000652695,0.000499794,0.001034006,0.011864815,0.092200164,0.092196878,0.092202703,0,0.092194191,0.047226837,0.78,0.796666075,0.807018,0.778540426,0.740951429,0.80222
59,1,0.031697692,0.613861318,0.198911754,0.06740034,0.012861584,0.120202239,0.009091566,0.078431389,0.674704561,0.27104306,0.205339081,0.5,0.445956615,0.035844037,0.3728816,0.118656337,0.192256345,0.13712375,0.135372829,0.317965082,0.485981401,0.301652733,0.101333333,0.00946729,8.11E-05,0.005278443,0.004075639,0.001970244,0.072988416,0.167847052,0.167849101,0.167851351,0,0.167847212,0.095002755,0.82665625,0.831111901,0.847954,0.820774468,0.794117143,0.83889
60,1,0.041145962,0.556655784,0.186215222,0.092159505,0.019292589,0.122797392,0.009091566,0.193771569,0.653900683,0.328335835,0.237697175,0.478261333,0.475370981,0.02987156,0.118644,0.108989774,0.230974619,0.200668917,0.117782003,0.446740884,0.474298971,0.260330654,0.128,0.001183578,0.000540541,0.012724551,0.018462077,0.002191286,0.189425519,0.169032084,0.169031535,0.169027027,0,0.169034523,0.197693571,0.80334375,0.79444405,0.821052,0.788812766,0.776017143,0.804445
61,1,0.046632115,0.41364148,0.121523594,0.090783928,0.019292589,0.086676221,0,0.467128184,0.540425582,0.353930181,0.225832554,0.369565333,0.429449462,0.01553211,0.1016952,0.079265417,0.193591439,0.2257525,0.079541106,0.467408581,0.355140285,0.264463023,0.128,0,0.00027027,0.019209581,0.037096455,0.003187035,0.284251547,0.124112388,0.124113174,0.124108108,0,0.124109517,0.166941224,0.70665625,0.683333925,0.718128,0.667808511,0.684388571,0.69222
62,1,0.046936923,0.225522699,0.047158353,0.057771546,0.016077087,0.049673958,0,0.380622843,0.338534245,0.323945169,0.176756106,0.217390667,0.295021519,0,0.0338984,0.040357608,0.120160211,0.193979917,0.039005742,0.426073186,0.186915908,0.14876045,0.098666667,0,0,0.012377246,0.033892622,0.004325186,0.294853188,0.048465499,0.048465662,0.048459459,0,0.048466644,0.229544184,0.531125,0.5,0.534502,0.46347234,0.506788571,0.49778
