ID,country,name,zone_el,zone_heat,fuel,fuel_daily,technology,capacity_el,capacity_heat,eff_el_chp,eff_heat_chp,eff_el_cond,eff_heat,efficiency,CO2_emission,CV,CM,prodcost
G1BE,BE,Herdersbrug STEG,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,465,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,83.5383192
G2BE,BE,Amercoeur 1 R TGV,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,451,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,86.35607484
G3BE,BE,Aalter,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,335.1847662
G4BE,BE,T-power Beringen,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,425,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.85690646
G5BE,BE,Marcinelle Energie (Carsid),BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,413,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,78.55742591
G6BE,BE,Zandvliet Power,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,386.2,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,78.92060662
G9BE,BE,Beerse,BE,---,Gas oil,Gasoil,Small CHP - Oil,32,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,338.1068838
G10BE,BE,Beveren 2 Indaver,BE,---,Waste,Waste - Decentral,Medium CHP - waste,21,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-15.23957988
G11BE,BE,Beveren 3 Indaver,BE,---,Waste,Waste - Decentral,Medium CHP - waste,24,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-13.86972633
G13BE,BE,Beveren Sleco,BE,---,Waste,Waste - Decentral,Medium CHP - waste,41,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-10.07439758
G14BE,BE,Biostoom Oostende,BE,---,Waste,Waste - Decentral,Medium CHP - waste,19.4,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-14.36440534
G15BE,BE,Cierreux,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,337.3473909
G16BE,BE,Doel Unit 1,BE,---,Nuclear,Nuclear - Central,Nuclear power plant,445,0,1,---,1,---,1,0,1,---,22.09405267
G17BE,BE,Doel Unit 2,BE,---,Nuclear,Nuclear - Central,Nuclear power plant,445,0,1,---,1,---,1,0,1,---,20.04037312
G19BE,BE,Doel Unit 4,BE,---,Nuclear,Nuclear - Central,Nuclear power plant,1039,0,1,---,1,---,1,0,1,---,21.25526591
G20BE,BE,Drogenbos DM 51,BE,---,Gas oil,Gasoil,Small CHP - Oil,2.5,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,332.7666644
G21BE,BE,Drogenbos DM 52,BE,---,Gas oil,Gasoil,Small CHP - Oil,2.5,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,337.6888248
G25BE,BE,Drogenbos GT1,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,150,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,93.70359879
G26BE,BE,Drogenbos GT2,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,150,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,93.39531565
G27BE,BE,EDF Luminus Seraing GT1,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,150,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,91.42200164
G28BE,BE,EDF Luminus Seraing GT2,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,150,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,91.62830645
G29BE,BE,Electrawinds biomassa Oostende,BE,---,Waste,Waste - Decentral,Medium CHP - waste,18,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-9.9213055
G30BE,BE,Scheldelaan Exxonmobil,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,140,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,92.18302772
G31BE,BE,Greenpower Oostende,BE,---,Waste,Waste - Decentral,Medium CHP - waste,20.3,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-13.81350221
G32BE,BE,INESCO WKK,BE,---,Natural gas,NG - EU,Medium CHP - natural gas CC,138,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,98.63613453
G33BE,BE,Angleur TG 41,BE,---,Natural gas,NG - EU,Large CHP - natural gas SC,64,0,0.35,0.37,0.4,---,0.375,205.2,---,0.945945946,117.7053499
G34BE,BE,Angleur TG 42,BE,---,Natural gas,NG - EU,Large CHP - natural gas SC,64,0,0.35,0.37,0.4,---,0.375,205.2,---,0.945945946,119.8117201
G35BE,BE,Incinerateur Thumaide (Ipalle),BE,---,Waste,Waste - Decentral,Medium CHP - waste,34,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-12.4441362
G36BE,BE,HAM31,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,58,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,136.9201459
G37BE,BE,Intradel Herstal,BE,---,Waste,Waste - Decentral,Medium CHP - waste,34,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-15.2603065
G38BE,BE,IVBO,BE,---,Waste,Waste - Decentral,Small CHP - waste,16,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-11.72102979
G39BE,BE,Ixelles,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,341.0144345
G40BE,BE,HAM32,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,58,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,130.6576505
G41BE,BE,Jemeppe-sur-Sambre GT1,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,48,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,136.0069791
G42BE,BE,Jemeppe-sur-Sambre GT2,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,48,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,137.6164195
G43BE,BE,EDF Luminus Ham GT,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,135.7381185
G44BE,BE,Langerbrugge Stora ST 1,BE,---,Waste,Waste - Decentral,Small CHP - waste,11,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-18.6447174
G45BE,BE,Langerbrugge Stora ST 2,BE,---,Waste,Waste - Decentral,Medium CHP - waste,44.7,0,0.22,0.78,---,---,0.22,133.2,1,0.282051282,-15.41111581
G46BE,BE,Lanxess Lillo WKK EBL,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,138.6847537
G47BE,BE,Lillo Degussa GT1,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,138.2832616
G48BE,BE,Oorderen Bayer,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,129.6013135
G49BE,BE,Oud-Lillo Monsanto,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,137.0947341
G50BE,BE,Noordschote,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,336.2500675
G51BE,BE,Wilmarsdonk Total GT1,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,139.345663
G52BE,BE,Wilmarsdonk Total GT2,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,130.9595491
G53BE,BE,Wilmarsdonk Total GT3,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,136.0976891
G54BE,BE,Rodenhuize 4,BE,---,Wood pellets,Wood pellets - Central,Large CHP - wood pellets,268,0,0.32,0.65,---,---,0.32,0,1,0.492307692,134.4455542
G55BE,BE,Awirs 4,BE,---,Wood pellets,Wood pellets - Central,Medium CHP - wood pellets,75,175.862069,0.29,0.68,---,---,0.29,0,1,0.426470588,102.5505507
G56BE,BE,Biomassa Oostende,BE,---,Wood pellets,Wood pellets - Central,Medium CHP - wood pellets,18,42.20689655,0.29,0.68,---,---,0.29,0,1,0.426470588,100.5771096
G57BE,BE,Stora Langerbrugge  CHP 1,BE,---,Wood pellets,Wood pellets - Central,Medium CHP - wood pellets,40,93.79310345,0.29,0.68,---,---,0.29,0,1,0.426470588,101.0292191
G58BE,BE,Stora Langerbrugge CHP 2,BE,---,Wood pellets,Wood pellets - Central,Medium CHP - wood pellets,10,23.44827586,0.29,0.68,---,---,0.29,0,1,0.426470588,105.0096347
G59BE,BE,Zwijndrecht Lanxess GT,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,129.4974859
G60BE,BE,Schaerbeek Siomab ST1,BE,---,Waste,Waste - Decentral,Small CHP - waste,15,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-17.21902109
G61BE,BE,Schaerbeek Siomab ST2,BE,---,Waste,Waste - Decentral,Small CHP - waste,15,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-15.46851082
G62BE,BE,Schaerbeek Siomab ST3,BE,---,Waste,Waste - Decentral,Small CHP - waste,15,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-10.91433509
G63BE,BE,Aalst Syral GT,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,43,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,131.4638332
G64BE,BE,Zeebrugge 2 Fluxys,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,40,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,134.5947614
G65BE,BE,Tihange Unit 1,BE,---,Nuclear,Nuclear - Central,Nuclear power plant,481,0,1,---,1,---,1,0,1,---,22.1924731
G67BE,BE,Tihange Unit 3,BE,---,Nuclear,Nuclear - Central,Nuclear power plant,1008,0,1,---,1,---,1,0,1,---,22.62932956
G68BE,BE,Lillo Degussa GT2,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,32,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,138.9624064
G69BE,BE,Turon,BE,---,Gas oil,Gasoil,Small CHP - Oil,18.6,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,340.2622837
G70BE,BE,Angleur TG31,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,25,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,131.752716
G71BE,BE,Angleur TG32,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,25,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,134.1484918
G72BE,BE,Beveren Ineos Phenolchemie,BE,---,Natural gas,NG - EU,Engine - natural gas,23.8,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,133.8780199
G73BE,BE,EDF Luminus Izegem WKK,BE,---,Natural gas,NG - EU,Medium CHP - natural gas SC,20,0,0.32,0.44,0.37,---,0.345,205.2,---,0.727272727,133.4302805
G74BE,BE,Wilrijk Isvag,BE,---,Waste,Waste - Decentral,Small CHP - waste,12,0,0.21,0.79,---,---,0.21,133.2,1,0.265822785,-15.58014741
G75BE,BE,Zwijndrecht Lanxess ST,BE,---,Natural gas,NG - EU,Engine - natural gas,15,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,131.4838481
G76BE,BE,Zedelgem,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,334.2445698
G77BE,BE,Zeebrugge,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,334.8680652
G78BE,BE,Eurosilo,BE,---,Natural gas,NG - EU,Engine - natural gas,12.9,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,127.8960522
G79BE,BE,Zelzate,BE,---,Gas oil,Gasoil,Small CHP - Oil,18,0,0.42,0.44,0.47,---,0.445,266.76,---,0.954545455,333.4170351
G80BE,BE,Jemeppe-sur-Sambre ST,BE,---,Natural gas,NG - EU,Engine - natural gas,10,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,128.2939457
G81BE,BE,Lillo Degussa ST,BE,---,Natural gas,NG - EU,Engine - natural gas,10,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,131.778304
G82BE,BE,Aalst Syral ST,BE,---,Natural gas,NG - EU,Engine - natural gas,5,0,0.42,0.44,0.47,---,0.445,205.2,---,0.954545455,125.4036964
G83BE,BE,Wood chips CHP 2025 BE,BE,---,Wood chips,Wood chips - Central,Large CHP - wood chips,250,675,0.3,0.81,---,---,0.3,0,1,0.37037037,58.10076284
G84BE,BE,Natural gas CHP 2025 BE,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,66.12458412
G85BE,BE,Natural gas CHP II 2025 BE,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,70.62991636
G86BE,BE,Natural gas CHP III 2025 BE,BE,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,69.95053813
G3BG,BG,Bobov Dol Power Plant Block1,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,190,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,72.77609717
G4BG,BG,Bobov Dol Power Plant Block2,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,190,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,71.28758607
G5BG,BG,Bobov Dol Power Plant Block3,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,190,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,72.9892074
G6BG,BG,Bobov Dol Power Plant Block4,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,130,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.45149413
G7BG,BG,Bobov Dol Power Plant Block5,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,130,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.45149413
G8BG,BG,Bobov Dol Power Plant Block6,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,130,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.45149413
G9BG,BG,Kozloudy Unit 5,BG,---,Nuclear,Nuclear - Central,Nuclear power plant,1100,0,1,---,1,---,1,0,1,---,22.6170483
G10BG,BG,Kozloudy Unit 6,BG,---,Nuclear,Nuclear - Central,Nuclear power plant,1000,0,1,---,1,---,1,0,1,---,19.00480895
G11BG,BG,Maritsa 3 Power Plant,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,120,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.99165256
G12BG,BG,Maritsa Iztok-1 Block1,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,343,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,70.33859298
G13BG,BG,Maritsa Iztok-1 Block2,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,343,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.47456514
G14BG,BG,Maritsa Iztok-2 Block1,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,177,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.57908102
G15BG,BG,Maritsa Iztok-2 Block2,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,230,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,65.34806467
G16BG,BG,Maritsa Iztok-2 Block3,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,177,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,71.94782007
G17BG,BG,Maritsa Iztok-2 Block4,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,230,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,69.78977711
G18BG,BG,Maritsa Iztok-2 Block5,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,177,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.3729929
G19BG,BG,Maritsa Iztok-2 Block6,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,165,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,71.71483046
G20BG,BG,Maritsa Iztok-2 Block7,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,230,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.30443343
G21BG,BG,Maritsa Iztok-2 Block8,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,218,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,72.83293847
G22BG,BG,Maritsa Iztok-3 Block1,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.32632667
G23BG,BG,Maritsa Iztok-3 Block2,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,65.26948439
G24BG,BG,Maritsa Iztok-3 Block3,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,65.95351671
G25BG,BG,Maritsa Iztok-3 Block4,BG,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.26303687
G27BG,BG,Republika Power Plant Gas,BG,---,Natural gas,NG - EU,Medium CHP - natural gas CC,180,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,97.25090301
G28BG,BG,Ruse Iztok Power Plant,BG,---,Coal,CIF ARA,Large CHP - coal,400,0,0.42,0.5,0.49,---,0.455,338.4,1,0.84,98.06976215
G30BG,BG,Sofia Iztok Power Plant Gas,BG,---,Natural gas,NG - EU,Medium CHP - natural gas CC,100,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,96.71888558
G31BG,BG,Sofia Power Plant,BG,---,Natural gas,NG - EU,Medium CHP - natural gas CC,130,0,0.46,0.35,0.51,---,0.485,205.2,---,1.314285714,97.25090301
G32BG,BG,Varna Power Plant Block 1,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.38940039
G33BG,BG,Varna Power Plant Block 2,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,81.29086997
G34BG,BG,Varna Power Plant Block 3,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.93369151
G38BG,BG,Varna Power Plant Block 7,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.93369151
G39BG,BG,Varna Power Plant Block 8,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.93369151
G40BG,BG,Varna Power Plant Block 9,BG,---,Natural gas,NG - EU,Large CHP - natural gas CC,210,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,84.93369151
G41BG,BG,Wood chips CHP,BG,---,Wood chips,Wood chips - Central,Large CHP - wood chips,230,621,0.3,0.81,---,---,0.3,0,1,0.37037037,58.10076284
G10CZ,CZ,"Dukovany Nuclear Power Plant, Block 1",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,470,0,1,---,1,---,1,0,1,---,19.19007609
G11CZ,CZ,"Dukovany Nuclear Power Plant, Block 2",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,470,0,1,---,1,---,1,0,1,---,21.21698664
G12CZ,CZ,"Dukovany Nuclear Power Plant, Block 3",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,470,0,1,---,1,---,1,0,1,---,16.46049703
G13CZ,CZ,"Dukovany Nuclear Power Plant, Block 4",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,470,0,1,---,1,---,1,0,1,---,17.76194503
G19CZ,CZ,Počerady EPC1 G4,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,187,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.96263306
G20CZ,CZ,Počerady EPC1 G3,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,186,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,73.4088256
G22CZ,CZ,Tušimice ETU2 G23,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,182,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,69.15847194
G23CZ,CZ,Tušimice ETU2 G24,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,182,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.06231936
G24CZ,CZ,Tušimice ETU2 G21,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,182,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.9804508
G26CZ,CZ,Tušimice ETU2 G22,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,182,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,69.61018217
G27CZ,CZ,Kladno - Dubská EKD,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,305,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.81027425
G28CZ,CZ,Chvaletice ECHV G2,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,192,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,68.76962256
G29CZ,CZ,Chvaletice ECHV G4,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,192,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,66.9420252
G31CZ,CZ,Počerady EPC1 G6,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,185,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,73.54299503
G32CZ,CZ,Počerady EPC2 B21,CZ,---,Natural gas,NG - EU,Large CHP - natural gas CC,847,0,0.54,0.3,0.59,---,0.565,205.2,---,1.8,79.84415503
G33CZ,CZ,Poříčí EPOR,CZ,---,Coal,CIF ARA,Large CHP - coal,149,0,0.42,0.5,0.49,---,0.455,338.4,1,0.84,94.39326077
G34CZ,CZ,Chvaletice ECHV G1,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,192,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,68.52336561
G35CZ,CZ,Chvaletice ECHV G3,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,192,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,73.64151937
G36CZ,CZ,Chvaletice EME3 G11,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,415,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,69.61708707
G38CZ,CZ,Prunéřov EPR2 G24,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,74.29390595
G39CZ,CZ,Prunéřov EPR2 G25,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,227,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,70.48758767
G40CZ,CZ,Prunéřov EPR2 G21,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,189,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,73.63114233
G41CZ,CZ,"Temelin Nuclear Power Plant, Block 1",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,1029,0,1,---,1,---,1,0,1,---,23.2645379
G42CZ,CZ,"Temelin Nuclear Power Plant, Block 2",CZ,---,Nuclear,Nuclear - Central,Nuclear power plant,1027,0,1,---,1,---,1,0,1,---,21.67613799
G48CZ,CZ,Vřesová 2 EVR,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,220,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,69.62407963
G49CZ,CZ,Ledvice ELED G6,CZ,---,Brown coal,Brown coal - Central,Brown Coal Large CHP,597,0,0.42,0.5,0.49,---,0.455,364.32,1,0.84,67.34786975
G54CZ,CZ,Wood chips CHP 2025 CZ,CZ,---,Wood chips,Wood chips - Central,Large CHP - wood chips,250,675,0.3,0.81,---,---,0.3,0,1,0.37037037,58.10076284
G55CZ,CZ,Natural gas CHP 2025 CZ,CZ,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,66.12458412
G56CZ,CZ,Natural gas CHP II 2025 CZ,CZ,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,70.62991636
G57CZ,CZ,Natural gas CHP III 2025 CZ,CZ,---,Natural gas,NG - EU,Large CHP - natural gas CC,250,138.8888889,0.54,0.3,0.59,---,0.565,205.2,---,1.8,69.95053813
G1DK,DK,Amagerværkets Blok1,DK2,Storkøbenhavn,Wood pellets,Wood pellets - Central,Large CHP - wood pellets,68,260,0.186585366,0.713414634,---,---,0.186585366,0,---,0.261538462,146.6814338
G2DK,DK,Amagerværkets Blok4,DK2,Storkøbenhavn,Wood chips,Wood chips - Central,Large CHP - wood chips,150,415,0.292035398,0.807964602,---,---,0.292035398,0,---,0.361445783,59.84419645
G3DK,DK,Asnæsværket,DK2,Kalundborg,Wood chips,Wood chips - Central,Medium CHP - wood chips,25,129,0.19,0.76,---,---,0.19,0,---,0.19379845,57.31266563
