Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,615.2825456,0,0,1135.565802,494.8806366,2146.38267,46.82139253,310.2025371,5.832492432,7.207726683,547.4268416,0,158.3249243,120.5131901,102.638028,0,288.4943462,0,1204.324636,7.247225025,0,0,0,30.59939455,0,237.8379703,166.7127,623.2711547,8359.33647,0,41.112873,0,0,0,0,0,0,0,0,0,0
2,1,677.2643253,0,0,1294.579582,452.4622963,3057.344739,45.78347989,207.5536976,6.881937437,8.072653885,502.0181635,0,169.5257316,119.0716448,105.3769641,0,274.815735,0,1185.613378,5.340060545,0,0,0,29.2431887,0,237.8379703,166.7127,623.2711547,8731.281521,0,41.112873,0,0,0,0,0,0,0,0,0,0
3,1,538.1832585,0,0,1432.852435,537.2989769,3785.655472,45.61049445,137.6171256,7.164480323,8.706933833,416.2462159,0,179.2129162,116.1885541,110.5665273,0,336.3694856,0,1190.716448,4.577194753,0,0,0,29.03128153,0,248.1787516,173.9610783,650.3699005,8494.745037,0,42.90038922,0,0,0,0,0,0,0,0,0,0
4,1,409.6844468,0,0,1553.841181,645.701402,4207.40567,46.53308347,116.1849503,6.942482341,7.957330258,327.9515641,0,183.148335,114.7470088,115.7560905,0,355.6438923,0,1265.561482,4.450050454,0,0,0,30.55701312,0,242.8415742,170.2199798,636.3834511,7582.87975,0,41.9778002,0,0,0,0,0,0,0,0,0,0
5,1,272.1151307,0,0,1534.828663,678.6934445,3964.176502,47.85930518,147.7692086,6.700302725,6.400461295,280.0201816,0,183.148335,121.6664264,117.774254,0,334.5042204,0,1325.097304,3.941473259,0,0,0,31.9556004,0,237.8379703,166.7127,623.2711547,7356.627461,0,41.112873,0,0,0,0,0,0,0,0,0,0
6,1,188.9688408,0,0,1495.075218,791.8090186,3566.749222,47.39801067,204.1696699,6.458123108,4.785930518,259.8385469,0,184.3592331,125.2702898,118.2067176,0,273.5722249,0,1384.633127,3.687184662,0,0,0,33.48133199,0,242.8415742,170.2199798,636.3834511,6573.314612,0,41.9778002,0,0,0,0,0,0,0,0,0,0
7,1,143.616319,0,0,1529.643431,791.8090186,3954.998043,45.26452357,248.1620297,6.094853683,3.805679689,247.2250252,0,192.5327952,125.7027534,120.8014992,0,263.0023889,0,1437.364855,3.814328961,0,0,0,35.76992936,0,263.8567104,184.950555,691.4550959,6281.929088,0,45.61049445,0,0,0,0,0,0,0,0,0,0
8,1,176.874835,0,0,1714.583372,702.2591891,4191.343366,43.47700735,268.4661958,5.650857719,3.575032435,234.6115035,0,203.1281534,125.2702898,124.8378261,0,212.6402293,0,1496.900678,4.704339051,0,0,0,35.6851665,0,277.8668012,194.7709384,728.1695257,5280.934112,0,48.03229062,0,0,0,0,0,0,0,0,0,0
9,1,346.1909163,0,0,1762.97887,612.7093596,4297.813492,43.30402191,314.714574,4.984863774,3.748017875,211.9071645,0,200.7063572,120.0807265,126.423526,0,367.4572384,0,1542.828312,6.230070636,0,0,0,34.58324924,0,277.5332276,194.5371198,727.2953726,4271.368973,0,47.9746288,0,0,0,0,0,0,0,0,0,0
10,1,393.0551888,0,0,1723.225425,579.7173172,4674.58924,44.51491999,301.1784633,4.157416751,3.171399741,169.0211907,0,197.9818365,116.9093268,125.1261352,0,423.4151935,0,1580.250829,7.120080727,0,0,0,35.60040363,0,275.5317861,193.1342079,722.0504541,4285.081233,0,47.62865792,0,0,0,0,0,0,0,0,0,0
11,1,383.9846844,0,0,1730.139068,744.6775294,5051.823911,48.95487963,253.8020758,3.430877901,1.095574456,110.9989909,0,202.8254289,114.4586997,127.8650714,0,463.8292722,0,1612.570275,7.501513623,0,0,0,37.67709384,0,270.8617558,189.8607467,709.8123108,4711.875324,0,46.82139253,0,0,0,0,0,0,0,0,0,0
12,1,332.5851598,0,0,1761.250459,711.6854869,6174.349463,50.68473403,294.410408,2.966700303,0.518956321,65.59031282,0,212.209889,115.3236269,135.5052616,0,682.065297,0,1644.889722,6.73864783,0,0,0,37.80423814,0,266.1917255,186.5872856,697.5741675,4679.308707,0,46.01412714,0,0,0,0,0,0,0,0,0,0
13,1,317.4676525,0,0,1726.682246,650.414551,6643.368725,49.99279227,393.6752198,2.78506559,0.634279948,37.84056509,0,231.5842583,121.0898083,136.3701888,0,657.1950948,0,1658.49791,4.704339051,0,0,0,37.08375378,0,263.1895632,184.4829177,689.7067897,4537.04401,0,45.49517082,0,0,0,0,0,0,0,0,0,0
14,1,284.2091365,0,0,1735.324299,607.9962107,6106.887789,49.01254144,515.5002162,2.986881937,1.32622171,17.65893037,0,251.8668012,126.423526,136.0818798,0,580.7192228,0,1665.302004,2.670030272,0,0,0,37.04137235,0,255.8509442,179.3389073,670.4754217,5371.777834,0,44.22661093,0,0,0,0,0,0,0,0,0,0
15,1,368.8671772,0,0,1635.076481,518.4463812,5447.415499,49.47383595,647.4772957,3.572149344,1.441545337,7.568113017,0,266.0948537,124.1170535,135.2169526,0,491.1864947,0,1670.405074,0.890010091,0,0,0,36.65993946,0,242.8415742,170.2199798,636.3834511,6530.4638,0,41.9778002,0,0,0,0,0,0,0,0,0,0
16,1,403.6374439,0,0,1621.249196,612.7093596,5479.540106,50.33876315,718.5418769,4.964682139,1.556868964,7.568113017,0,270.938446,125.8469079,132.91048,0,550.253225,0,1667.003027,0.381432896,0,0,0,35.98183653,0,231.8336457,162.5039642,607.536399,7125.233075,0,40.07496036,0,0,0,0,0,0,0,0,0,0
17,1,358.2849221,0,0,1590.137804,655.1276999,6894.858506,50.33876315,742.2300706,7.891019173,0.576618135,12.6135217,0,270.332997,128.7299986,130.3156984,0,711.9095397,0,1649.992792,0.127144299,0,0,0,34.92230071,0,222.4935851,155.9570419,583.0601124,7939.398509,0,38.46042958,0,0,0,0,0,0,0,0,0,0
18,1,400.6139424,0,0,1446.67972,433.6097006,8184.432015,50.22343953,772.6863197,11.2209889,0.17298544,17.65893037,0,272.7547931,129.8832348,127.8650714,0,1038.952699,0,1626.178463,0.127144299,0,0,0,33.18466196,0,218.490702,153.1512181,572.5702753,8450.180192,0,37.76848782,0,0,0,0,0,0,0,0,0,0
19,1,393.0551888,0,0,1538.285485,254.5100417,8646.567433,49.35851233,830.2147903,13.6629667,0.691941762,20.18163471,0,275.1765893,129.1624622,126.2793715,0,1045.17025,0,1600.663111,0.127144299,0,0,0,32.42179617,0,230.1657777,161.334871,603.1656336,8900.970738,0,39.78665129,0,0,0,0,0,0,0,0,0,0
20,1,323.5146554,0,0,1673.101516,150.8207654,8086.681425,48.60890875,894.5113161,14.61150353,1.210898083,25.22704339,0,271.8466196,128.0092259,127.7209168,0,1060.714126,0,1602.364134,0.508577195,0,0,0,32.97275479,0,244.8430157,171.6228917,641.6283696,9427.178713,0,42.32377108,0,0,0,0,0,0,0,0,0,0
21,1,303.861896,0,0,1578.03893,75.41038272,7385.447147,49.70448321,947.5277497,14.99495459,1.441545337,35.31786075,0,261.8567104,125.8469079,130.1715439,0,1136.568243,0,1619.374369,1.398587286,0,0,0,32.54894046,0,259.8538273,182.1447312,680.9652588,8527.311654,0,44.91855269,0,0,0,0,0,0,0,0,0,0
22,1,338.6321627,0,0,1731.867478,136.6813187,6920.558191,50.28110134,982.4960358,15.29767911,1.32622171,45.4086781,0,253.0776993,125.5585988,132.622171,0,1321.85125,0,1624.47744,3.432896065,0,0,0,32.5913219,0,271.8624766,190.5622027,712.4347701,8417.613575,0,46.99437797,0,0,0,0,0,0,0,0,0,0
23,1,288.7443887,0,0,1600.508268,235.657446,7022.898011,49.53149777,1011.824276,15.27749748,1.556868964,47.93138244,0,244.2986882,127.1442987,134.2078708,0,1162.681956,0,1624.47744,6.865792129,0,0,0,32.7184662,0,275.5317861,193.1342079,722.0504541,8433.039867,0,47.62865792,0,0,0,0,0,0,0,0,0,0
24,1,188.9688408,0,0,1557.298002,329.9204244,7764.058586,49.07020326,1062.584691,14.69223007,1.845178031,35.31786075,0,238.5469223,127.2884532,134.6403344,0,1264.02803,0,1631.281534,11.44298688,0,0,0,33.52371342,0,276.1989333,193.6018452,723.7987603,8331.91195,0,47.74398155,0,0,0,0,0,0,0,0,0,0
25,1,216.1803538,0,0,1666.187873,207.3785525,8483.19086,48.839556,1090.784921,14.06659939,1.845178031,20.18163471,0,238.5469223,128.297535,134.0637163,0,1255.945214,0,1634.683581,16.65590313,0,0,0,34.03229062,0,264.190284,185.1843736,692.329249,8962.675908,0,45.66815626,0,0,0,0,0,0,0,0,0,0
26,1,217.6921046,0,0,1794.090262,160.2470633,9218.84436,49.53149777,1096.424968,13.42078708,2.018163471,7.568113017,0,242.4823411,128.7299986,132.91048,0,1378.43096,0,1621.075393,21.99596367,0,0,0,33.48133199,0,251.5144875,176.2992648,659.1114315,9226.636912,0,43.47700735,0,0,0,0,0,0,0,0,0,0
27,1,244.9036176,0,0,1809.645958,273.3626374,9560.741963,48.72423238,1096.424968,12.95660949,2.594781606,7.568113017,0,246.4177598,127.1442987,133.7754072,0,1464.233158,0,1610.869252,25.30171544,0,0,0,32.209889,0,231.5000721,162.2701456,606.6622459,10165.92672,0,40.01729854,0,0,0,0,0,0,0,0,0,0
28,1,323.5146554,0,0,1797.547083,292.215233,9719.988229,47.28268704,1105.449041,13.56205853,2.652443419,12.6135217,0,246.1150353,126.135217,133.1987891,0,1468.585444,0,1604.065158,25.68314834,0,0,0,29.370333,0,209.8177887,147.0719331,549.8422949,11367.4635,0,36.26928067,0,0,0,0,0,0,0,0,0,0
29,1,343.1674148,0,0,1909.893776,306.3546798,9465.744911,46.99437797,1113.345106,14.81331988,2.364134352,20.18163471,0,243.3905146,125.9910624,131.3247802,0,1484.751075,0,1595.56004,27.46316852,0,0,0,26.95459132,0,200.8113017,140.7588295,526.2401615,12171.34474,0,34.71241171,0,0,0,0,0,0,0,0,0,0
30,1,492.8307367,0,0,1975.573381,263.9363395,9905.393104,47.91696699,1115.601124,15.80221998,1.960501658,35.31786075,0,244.6014127,125.4144443,129.5949258,0,1518.947603,0,1595.56004,31.91321897,0,0,0,26.57315843,0,203.4798904,142.6293787,533.2333862,13518.57427,0,35.17370621,0,0,0,0,0,0,0,0,0,0
31,1,669.7055717,0,0,1984.215434,226.2311482,9920.078638,48.03229062,1115.601124,16.26639758,1.383883523,63.06760848,0,243.9959637,121.6664264,128.7299986,0,1523.921644,0,1578.549805,34.83753784,0,0,0,26.2764884,0,224.8286003,157.5937725,589.1791841,14776.67412,0,38.86406227,0,0,0,0,0,0,0,0,0,0
32,1,749.8283602,0,0,2006.684773,263.9363395,10061.42691,47.45567248,1115.601124,16.22603431,0.749603575,156.407669,0,244.6014127,119.7924175,128.4416895,0,1589.82768,0,1576.848782,35.34611504,0,0,0,27.42078708,0,248.8458988,174.4287156,652.1182067,15616.55005,0,43.01571284,0,0,0,0,0,0,0,0,0,0
33,1,767.9693689,0,0,2015.326826,249.7968928,10876.47408,47.39801067,1117.857143,16.14530777,0.807265388,257.3158426,0,242.7850656,119.2157993,126.7118351,0,1739.670648,0,1575.147758,35.34611504,0,0,0,29.45509586,0,264.5238576,185.4181923,693.203402,16298.73498,0,45.72581808,0,0,0,0,0,0,0,0,0,0
34,1,867.7449168,0,0,2006.684773,311.0678287,11173.85616,47.45567248,1116.729134,15.31786075,1.095574456,373.3602422,0,235.2169526,117.4859449,125.9910624,0,1768.893136,0,1563.240594,37.63471241,0,0,0,32.76084763,0,293.54476,205.7604152,769.2547211,17190.03188,0,50.74239585,0,0,0,0,0,0,0,0,0,0
35,1,870.7684183,0,0,1972.116559,386.4782114,11825.98568,47.9746288,1116.729134,14.10696266,1.153236269,486.8819374,0,222.1997982,121.0898083,126.8559896,0,1809.92897,0,1553.034453,38.14328961,0,0,0,35.13420787,0,307.5548508,215.5807986,805.9691509,18424.13527,0,53.16419201,0,0,0,0,0,0,0,0,0,0
36,1,816.3453921,0,0,1897.794901,367.6256158,11790.64861,48.72423238,1116.729134,13.34006054,1.32622171,587.790111,0,211.9071645,122.09889,127.7209168,0,1790.654563,0,1547.931382,39.54187689,0,0,0,36.70232089,0,315.2270434,220.9586276,826.074672,18866.35565,0,54.49041372,0,0,0,0,0,0,0,0,0,0
37,1,1052.178505,0,0,1840.75735,292.215233,11753.93477,49.87746865,1116.729134,13.88496468,1.49920715,681.1301715,0,206.4581231,125.4144443,128.297535,0,1850.964803,0,1537.725241,40.43188698,0,0,0,39.160444,0,317.8956321,222.8291769,833.0678968,19601.67559,0,54.95170823,0,0,0,0,0,0,0,0,0,0
38,1,1219.982836,0,0,1835.572118,372.3387647,11936.12719,50.56941041,1116.729134,15.19677094,1.556868964,736.629667,0,201.0090817,124.9819807,128.297535,0,1863.399904,0,1520.715006,38.3975782,0,0,0,39.0332997,0,318.8963529,223.5306328,835.6903561,19824.49982,0,55.12469367,0,0,0,0,0,0,0,0,0,0
39,1,1501.168471,0,0,1858.041456,377.0519136,11873.71367,51.78030849,1114.473115,16.32694248,1.49920715,784.5610494,0,192.5327952,122.6755081,128.4416895,0,1879.565536,0,1500.302725,33.82038345,0,0,0,39.07568113,0,317.8956321,222.8291769,833.0678968,20061.0363,0,54.95170823,0,0,0,0,0,0,0,0,0,0
40,1,1557.103248,0,0,1999.77113,414.757105,11967.33395,52.52991207,1111.089088,16.79112008,1.095574456,827.4470232,0,191.9273461,122.9638172,127.7209168,0,1907.544513,0,1493.498631,28.6074672,0,0,0,39.20282543,0,316.2277642,221.6600836,828.6971313,20117.59937,0,54.66339916,0,0,0,0,0,0,0,0,0,0
41,1,1824.683126,0,0,2032.610932,494.8806366,12128.87483,53.39483927,1107.70506,16.71039354,1.037912642,862.764884,0,196.7709384,124.9819807,127.1442987,0,1916.249084,0,1484.993513,25.81029263,0,0,0,39.49949546,0,317.2284849,222.3615396,831.3195906,20575.24605,0,54.8363846,0,0,0,0,0,0,0,0,0,0
42,1,2110.404014,0,0,2044.709807,659.8408488,12367.97369,53.62548652,1103.193023,16.36730575,1.556868964,887.9919273,0,198.5872856,126.423526,127.0001442,0,1922.466635,0,1469.684302,27.59031282,0,0,0,39.62663976,0,317.2284849,222.3615396,831.3195906,20439.83748,0,54.8363846,0,0,0,0,0,0,0,0,0,0
43,1,2146.686031,0,0,2053.35186,895.4982948,12507.94519,53.39483927,1096.424968,15.90312815,1.902839844,903.1281534,0,194.9545913,127.0001442,126.423526,0,1925.57541,0,1449.27202,28.8617558,0,0,0,39.92330979,0,317.5620585,222.5953582,832.1937437,10537.87177,0,54.89404642,0,0,0,0,0,0,0,0,0,0
44,1,2199.597307,0,0,2051.62345,895.4982948,12634.14901,53.56782471,1081.760848,15.31786075,1.960501658,925.8324924,0,187.6892028,127.2884532,125.5585988,0,1916.870839,0,1427.158714,28.35317861,0,0,0,40.09283552,0,318.2292057,223.0629955,833.9420499,20436.40942,0,55.00937004,0,0,0,0,0,0,0,0,0,0
45,1,2217.738315,0,0,2029.154111,820.0879121,12698.85714,54.3750901,1062.584691,14.42986882,1.787516217,948.5368315,0,179.8183653,129.0183076,125.1261352,0,1915.005574,0,1410.148479,28.09889001,0,0,0,40.30474268,0,319.2299265,223.7644515,836.5645092,20270.14827,0,55.18235549,0,0,0,0,0,0,0,0,0,0
46,1,2187.503301,0,0,1854.584635,989.7612732,12360.172,55.06703186,1043.408534,13.56205853,1.845178031,961.1503532,0,169.5257316,128.585844,124.6936716,0,1922.466635,0,1393.138244,32.04036327,0,0,0,40.30474268,0,316.8949113,222.1277209,830.4454375,20241.00971,0,54.77872279,0,0,0,0,0,0,0,0,0,0
47,1,2181.456298,0,0,1851.127814,1008.613869,12424.42121,55.18235549,994.9041372,13.05751766,2.652443419,956.1049445,0,157.1140262,128.297535,124.9819807,0,1927.440675,0,1401.643362,39.66902119,0,0,0,40.47426842,0,315.8941906,221.426265,827.8229782,20643.80735,0,54.60573735,0,0,0,0,0,0,0,0,0,0
48,1,2170.874043,0,0,1837.300528,994.4744221,12375.31646,55.29767911,905.7914084,12.65388496,4.151650569,913.2189707,0,146.8213925,129.8832348,125.7027534,0,1897.596433,0,1410.148479,47.55196771,0,0,0,40.55903128,0,317.2284849,222.3615396,831.3195906,20518.68298,0,54.8363846,0,0,0,0,0,0,0,0,0,0
49,1,2175.409295,0,0,1826.930064,970.9086775,12418.91414,55.58598818,838.1108548,12.31079717,4.555283264,822.4016145,0,144.7023209,131.1806256,127.2884532,0,1922.466635,0,1449.27202,52.63773966,0,0,0,40.72855701,0,319.2299265,223.7644515,836.5645092,20547.82153,0,55.18235549,0,0,0,0,0,0,0,0,0,0
50,1,2146.686031,0,0,1828.658475,947.3429329,12309.69048,55.70131181,1045.664552,12.23007064,5.82384316,676.0847629,0,146.8213925,133.4870982,128.7299986,0,1921.84488,0,1484.993513,54.92633703,0,0,0,41.19475277,0,320.5642208,224.6997261,840.0611215,19886.20499,0,55.41300274,0,0,0,0,0,0,0,0,0,0
51,1,2148.197782,0,0,1826.930064,1003.90072,12202.76143,55.98962087,1091.912931,12.43188698,7.553697564,529.7679112,0,149.5459132,134.3520254,129.1624622,0,1906.922758,0,1508.807842,53.14631685,0,0,0,41.40665994,0,321.231368,225.1673634,841.8094277,599.9113727,0,55.52832637,0,0,0,0,0,0,0,0,0,0
