Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0,0,0,0,0,0,0,0,0,48.36413426,0,0,0,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.165913705,0.997301482,0.948763734,0.000193667,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,48.36413426,0,0,1.676429638,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.139960151,0.993361255,0.857656577,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,48.36413426,0,0,0,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.153375371,1.156307115,0.921773758,0.009771551,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,51.58840988,0,0,0,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.131168512,1.032364519,1.002669068,0.000511835,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,83.83116605,0,0,0,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.157030962,0.984184016,0.94296494,0.150437969,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,3.231205674,96.72826852,0,0,0,0,0,0,0,0,0,0,0,0,2.308952381,0,0,0.166050363,1.056666744,1.011452536,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,183.339934,20.84660563,0,0,0,0,0,426.5191489,99.95254414,0,0,95.55648934,0,0,25.72671408,0,0,21.84321224,0,60.79372497,0,2.308952381,0,0,0.170446182,1.203440215,0.92527009,0.041759505,0,0,0,0,0,0,0.802539683,23.93619048,37.20969089,0.707762557,0.274725275,3.619047619
8,1,0,756.2772277,141.2936604,0,0,980.8373341,5.493506494,0,1773.931915,216.0264664,586.4298234,22.82608696,1694.870364,2.345792797,40.1937046,372.5228199,0,0,240.2753346,5.580740404,381.3424566,65.75206612,2.308952381,0,0,0.129391964,1.060207961,1.077030075,0.032114184,0,0,0,0,0,0,3.951746032,57.01873016,118.7301587,7.583170254,8.516483516,15.74603175
9,1,0,1381.59736,674.0402487,39.43407349,23.26412494,8152.533336,21.97402597,0,2904.853901,2756.755653,2144.65764,68.47826087,5277.400499,19.64601468,40.1937046,1049.649934,191.6589739,132.5848065,775.4340344,340.4251647,726.7613485,219.1735537,60.0327619,3.191208791,0,0.150619443,0.991640523,1.232702115,1.166662014,0.29400614,1.568286898,0.163627153,0.004432624,0.099839688,67.74927434,6.074920635,107.4209524,172.6984127,16.7840835,25.54945055,28.95238095
10,1,205.8061567,1705.716172,1355.029366,126.1890352,81.4244373,17774.98775,43.94805195,18.04745428,3770.817021,7435.179573,4905.904351,121.7391304,8672.170515,56.59225124,140.6779661,1794.695574,1661.04444,503.8222647,1676.466539,1183.116966,972.6995995,345.1983471,205.4967619,8.50989011,0,0.204781402,2.403389089,6.996895361,199.3303091,6.664139169,35.54783634,3.708882134,0.100472813,2.26303293,215.2035773,7.304126984,142.0603175,202.5229741,24.87279843,44.64285714,42.53968254
