ID,country,name,zone,fuel,fuel_type,technology,electric_capacity,thermal_capacity,efficiency,prod_cost
G1BE,BE,Herdersbrug STEG,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,465,0,0.54,124.1951703
G2BE,BE,Amercoeur 1 R TGV,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,451,0,0.54,127.0129259
G3BE,BE,Aalter,BE,Gas oil,Gas oil - Decentral,Small CHP - Oil,18,0,0.42,401.6496808
G4BE,BE,Tpower Beringen,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,425,0,0.54,125.5137576
G5BE,BE,Marcinelle Energie Carsid,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,413,0,0.54,119.214277
G6BE,BE,Zandvliet Power,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,386.2,0,0.54,119.5774577
G7BE,BE,Ringvaart STEG,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,385,0,0.54,0
G8BE,BE,SaintGhislain STEG,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,350,0,0.54,0
G9BE,BE,Beerse,BE,Gas oil,Gas oil - Decentral,Small CHP - Oil,32,0,0.42,404.5717985
G10BE,BE,Beveren 2 Indaver,BE,Waste,Waste - Decentral,Medium CHP - waste,21,0,0.22,136.5944951
G11BE,BE,Beveren 3 Indaver,BE,Waste,Waste - Decentral,Medium CHP - waste,24,0,0.22,137.9643487
G12BE,BE,Zelzate 2 Knippegroen,BE,Natural gas,Natural gas - Central,Large CHP - natural gas CC,315,0,0.54,0
G13BE,BE,Beveren Sleco,BE,Waste,Waste - Decentral,Medium CHP - waste,41,0,0.22,141.7596774
G14BE,BE,Biostoom Oostende,BE,Waste,Waste - Decentral,Medium CHP - waste,19.4,0,0.22,137.4696697
G15BE,BE,Cierreux,BE,Gas oil,Gas oil - Decentral,Small CHP - Oil,18,0,0.42,403.8123056
