Technology,Reference,Capacity,Investment (el),Investment (heat),Fixed O&M (el),Fixed O&M (heat),Var. O&M (el),Var. O&M (heat),Lifetime,CV,CM,Electric efficiency CHP,Heat efficiency CHP,Electric efficiency condensing,Heat efficiency,Start-up cost,Minimum capacity,Ramp up,Ramp down,Up-time,Down-time,Load factor,CO2 capture rate (amount of emission),SO2 (degree of desulphuring),Emission factor SO2,Emission factor NOX,Emission factor CH4,Emission factor N2O,Emission factor PM2.5
-,-,MW-e,mil. EUR/MW-el,mil. EUR/MW-heat,EUR/MW-el/year,EUR/MW-heat/year,EUR/MWh-el,EUR/MWh-heat,year,%,%,MW-el/MW-fuel,MW-heat/MW-fuel,MW-el/MW-fuel,MW-heat/MW-fuel,EUR/MW-e,% of full load,% per minute,% per minute,hours,hours,%,%,%,g/MWh-f,g/MWh-f,g/MWh-f,g/MWh-f,g/MWh-f
Small CHP - waste,Energistyrelsen,8.00,10.50,NA,411000.00,NA,25.90,NA,25.00,1.00,0.27,0.21,0.79,NA,NA,65.00,0.20,0.10,0.10,8.00,8.00,NA,0.00,1.00,NA,241.20,0.36,3.60,1.08
Medium CHP - waste,Energistyrelsen,18.60,9.10,NA,264800.00,NA,25.00,NA,25.00,1.00,0.28,0.22,0.78,NA,NA,65.00,0.20,0.10,0.10,8.00,8.00,NA,0.00,1.00,NA,201.60,0.36,3.60,1.08
Large CHP - waste,Energistyrelsen,51.80,7.80,NA,188300.00,NA,24.80,NA,25.00,1.00,0.29,0.23,0.78,NA,NA,65.00,0.20,0.10,0.10,8.00,8.00,NA,0.00,1.00,NA,201.60,0.36,3.60,1.08
Boiler - waste,Energistyrelsen,NA,NA,1.75,NA,78600.00,NA,5.50,25.00,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,NA,241.20,0.36,3.60,1.08
Small CHP - wood chips,Energistyrelsen,2.90,6.30,NA,281000.00,NA,9.30,NA,25.00,1.00,0.14,0.14,0.97,NA,NA,65.00,0.20,0.10,0.10,8.00,8.00,NA,0.00,0.98,NA,226.80,39.60,3.60,1.08
Medium CHP - wood chips,Energistyrelsen,23.80,3.60,NA,153600.00,NA,4.50,NA,25.00,1.00,0.35,0.29,0.82,NA,NA,65.00,0.20,0.04,0.04,8.00,8.00,NA,0.00,0.98,NA,259.20,7.20,3.60,1.08
Large CHP - wood chips,Energistyrelsen,182.60,3.40,NA,97600.00,NA,4.40,NA,25.00,1.00,0.37,0.30,0.81,NA,NA,65.00,0.45,0.04,0.04,8.00,8.00,NA,0.00,0.98,NA,86.40,7.20,28.80,1.08
Small CHP - wood pellets,Energistyrelsen,3.10,6.20,NA,275900.00,NA,3.90,NA,25.00,1.00,0.18,0.15,0.82,NA,NA,65.00,0.20,0.10,0.10,8.00,8.00,NA,0.00,0.98,NA,194.40,0.00,3.60,1.08
Medium CHP - wood pellets,Energistyrelsen,24.70,3.10,NA,127100.00,NA,1.90,NA,25.00,1.00,0.43,0.29,0.68,NA,NA,65.00,0.15,0.10,0.10,8.00,8.00,NA,0.00,0.98,NA,223.20,0.00,3.60,1.08
Large CHP - wood pellets,Energistyrelsen,268.10,2.30,NA,64000.00,NA,1.70,NA,25.00,1.00,0.49,0.32,0.65,NA,NA,65.00,0.15,0.04,0.04,8.00,8.00,NA,0.00,0.98,NA,75.60,0.00,3.60,1.08
Small CHP - straw,Energistyrelsen,3.00,6.80,NA,318200.00,NA,4.50,NA,25.00,1.00,0.18,0.15,0.85,NA,NA,65.00,0.50,0.10,0.10,8.00,8.00,NA,0.00,0.96,NA,259.20,39.60,3.60,1.08
Medium CHP - straw,Energistyrelsen,25.30,3.80,NA,149900.00,NA,2.10,NA,25.00,1.00,0.46,0.31,0.68,NA,NA,65.00,0.40,0.04,0.04,8.00,8.00,NA,0.00,0.96,NA,252.00,0.00,3.60,1.08
Large CHP - straw,Energistyrelsen,41.60,3.50,NA,124900.00,NA,2.10,NA,25.00,1.00,0.45,0.31,0.69,NA,NA,65.00,0.40,0.04,0.04,8.00,8.00,NA,0.00,0.96,NA,241.20,0.00,3.60,1.08
Boiler - wood chips,Energistyrelsen,NA,NA,0.68,NA,32200.00,NA,1.00,25.00,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,0.00,0.98,NA,226.80,39.60,10.80,1.08
